Row Label,County,Mark Nichols,William Payne
BLUFFS 210,CM,121,130
PORT ANGELES 109,CM,345,270
PORT ANGELES 108,CM,139,116
BELLEVIEW 205,CM,257,215
CARLSBORG 214,CM,168,163
PORT ANGELES 103,CM,334,239
PORT ANGELES 102,CM,271,241
PORT ANGELES 101,CM,190,156
OLYMPIC 254,CM,147,155
PORT ANGELES 107,CM,315,239
PORT ANGELES 106,CM,217,199
PORT ANGELES 105,CM,250,256
PORT ANGELES 104,CM,212,150
AGNEW 201,CM,194,161
JAMESTOWN 240,CM,121,150
FRESHWATER BAY 233,CM,359,226
DUNGENESS EAST 222,CM,251,281
SUN 269,CM,80,64
CLARK 216,CM,102,58
MOUNT PLEASANT 251,CM,198,216
PORT WILLIAMS 258,CM,127,115
MILLER PENINSULA 246,CM,108,107
ELK 229,CM,52,55
FAIRVIEW 232,CM,263,245
OBRIEN 253,CM,198,180
HAPPY VALLEY 237,CM,92,134
EAGLE 226,CM,163,200
COYOTE 218,CM,234,243
BOGACHIEL 212,CM,94,59
ROBIN HILL 266,CM,168,173
PRAIRIE NORTH 259,CM,195,198
JOYCE 241,CM,267,249
NEAH BAY 252,CM,90,62
SEQUIM 406,CM,167,198
MADISON CREEK 248,CM,99,77
FORKS 301,CM,156,84
DEER PARK 220,CM,251,235
DIAMOND POINT 221,CM,195,217
BEAVER 204,CM,214,101
MONTERRA 249,CM,216,203
PORT ANGELES 110,CM,67,68
PORT ANGELES 111,CM,316,258
PORT ANGELES 112,CM,183,146
PORT ANGELES 113,CM,197,139
QUILEUTE 262,CM,76,71
CLINE 217,CM,218,211
FORKS 302,CM,206,136
BELL HILL 207,CM,217,233
PRAIRIE SOUTH 260,CM,187,226
MOUNT ANGELES 250,CM,154,135
SUNLAND NORTH 270,CM,250,233
BLYN 211,CM,182,189
DUNGENESS WEST 223,CM,98,140
BLUE MOUNTAIN 209,CM,231,227
MACLEAY 247,CM,222,221
SEQUIM 404,CM,268,311
SEQUIM 405,CM,174,194
SEQUIM 402,CM,111,119
SEQUIM 403,CM,207,202
DRY CREEK 224,CM,241,153
CLALLAM BAY 215,CM,125,94
LOST MOUNTAIN 245,CM,128,157
SEQUIM 401,CM,119,105
RIVERSIDE 265,CM,209,190
BLACK DIAMOND 208,CM,154,134
SUNLAND SOUTH 271,CM,163,139
ELWHA 230,CM,76,57
Total,CM,12399,11308
