Row Label,County,Anne C. Harper,Registered Voters,Times Blank Voted,Times Counted,Times Over Voted,Write-in
SEA 37-1629,KI,109,527,109,221,0,3
SEA 46-2344,KI,191,760,138,329,0,0
SEA 46-2311,KI,140,451,115,256,0,1
SEA 34-3648,KI,123,470,115,240,0,2
SEA 46-1968,KI,87,297,90,177,0,0
SEA 36-1391,KI,119,439,140,262,0,3
SEA 36-1390,KI,90,290,101,191,0,0
SEA 36-1393,KI,107,297,102,209,0,0
SEA 36-1392,KI,127,411,128,255,0,0
SEA 36-1395,KI,135,444,141,276,0,0
SEA 36-1394,KI,153,559,181,336,0,2
SEA 36-1397,KI,102,357,129,233,0,2
SEA 36-1396,KI,74,282,89,166,0,3
SEA 36-1399,KI,108,296,97,205,0,0
SEA 36-1816,KI,96,303,76,172,0,0
SEA 46-3687,KI,67,220,76,143,0,0
SEA 43-2017,KI,118,430,147,267,0,2
SEA 37-3416,KI,78,502,50,134,0,6
SEA 36-1403,KI,95,497,136,234,0,3
SEA 36-1402,KI,99,381,106,206,0,1
SEA 43-2013,KI,83,310,132,216,0,1
SEA 43-2011,KI,89,278,99,189,0,1
SEA 46-2353,KI,124,488,73,199,0,2
SEA 46-2096,KI,80,230,82,162,0,0
SEA 43-2018,KI,164,559,199,363,0,0
SEA 34-3637,KI,183,567,125,309,0,1
SEA 46-2097,KI,106,400,150,257,0,1
SEA 34-3632,KI,58,271,41,99,0,0
SEA 46-2276,KI,110,382,139,250,0,1
SEA 43-1351,KI,150,561,164,315,0,1
SEA 37-1936,KI,103,296,119,222,0,0
SEA 43-1353,KI,127,449,132,260,0,1
SEA 43-1352,KI,156,608,165,322,0,1
SEA 43-1355,KI,133,401,111,244,0,0
SEA 43-1354,KI,120,435,119,240,0,1
SEA 43-1357,KI,104,355,86,192,0,2
SEA 43-2049,KI,80,453,125,208,0,3
SEA 43-1359,KI,151,518,138,291,0,2
SEA 43-1358,KI,104,418,118,224,0,2
SEA 37-1934,KI,236,784,232,472,0,4
SEA 37-1935,KI,83,291,121,204,0,0
SEA 37-3647,KI,84,447,60,146,0,2
SEA 43-2059,KI,124,424,128,252,0,0
SEA 37-3159,KI,221,845,160,383,0,2
SEA 46-2271,KI,144,476,172,319,0,3
SEA 46-2347,KI,138,519,142,281,0,1
SEA 46-1952,KI,79,281,100,179,0,0
SEA 46-1953,KI,94,236,81,175,0,0
SEA 46-1954,KI,97,282,105,203,0,1
SEA 37-1638,KI,76,505,85,162,0,1
SEA 36-1308,KI,80,298,112,193,0,1
SEA 36-1309,KI,153,556,174,328,0,1
SEA 36-1306,KI,115,381,125,240,0,0
SEA 36-1307,KI,83,276,91,174,0,0
SEA 36-1304,KI,113,333,118,234,0,3
SEA 36-1305,KI,94,301,112,206,0,0
SEA 37-1631,KI,84,301,103,187,0,0
SEA 36-1303,KI,118,411,149,269,0,2
SEA 36-1300,KI,111,383,103,214,0,0
SEA 36-1301,KI,86,319,132,218,0,0
SEA 36-1715,KI,81,355,88,172,0,3
SEA 36-1714,KI,157,526,162,321,0,2
SEA 36-1717,KI,61,251,73,134,0,0
SEA 36-1716,KI,73,357,104,177,0,0
SEA 36-1711,KI,183,760,192,379,0,4
SEA 36-1710,KI,73,351,82,157,0,2
SEA 36-1713,KI,82,362,93,176,0,1
SEA 36-1712,KI,134,463,135,269,0,0
SEA 36-2147,KI,154,489,181,338,0,3
SEA 36-1719,KI,148,510,149,299,0,2
SEA 36-1718,KI,69,318,86,155,0,0
SEA 37-1834,KI,97,386,88,188,0,3
SEA 46-1404,KI,115,441,101,217,0,1
SEA 46-2371,KI,198,656,170,371,0,3
SEA 34-3263,KI,97,415,94,194,0,3
SEA 34-3265,KI,91,353,76,168,0,1
SEA 34-3264,KI,105,340,74,180,0,1
SEA 34-3266,KI,66,311,50,117,0,1
SEA 46-2285,KI,114,286,97,211,0,0
SEA 11-1928,KI,58,298,85,145,0,2
SEA 43-2850,KI,83,359,98,182,0,1
SEA 37-1938,KI,100,394,147,247,0,0
SEA 46-2283,KI,97,348,113,214,0,4
SEA 36-1398,KI,135,503,129,265,0,1
SEA 46-2326,KI,126,574,145,271,0,0
SEA 46-2327,KI,104,381,85,190,0,1
SEA 46-2324,KI,114,432,121,237,0,2
SEA 43-2047,KI,187,662,214,403,0,2
SEA 46-2289,KI,76,338,125,203,0,2
SEA 46-2323,KI,144,554,164,310,0,2
SEA 46-2320,KI,106,350,115,222,0,1
SEA 46-2321,KI,107,333,117,225,0,1
SEA 37-3694,KI,18,92,26,44,0,0
SEA 43-1368,KI,78,292,105,184,0,1
SEA 34-1461,KI,137,399,129,268,0,2
SEA 36-1273,KI,78,279,123,201,0,0
SEA 34-1508,KI,92,295,90,182,0,0
SEA 34-1509,KI,83,281,93,177,0,1
SEA 34-1465,KI,140,372,109,251,0,2
SEA 34-1464,KI,106,359,138,245,0,1
SEA 34-1467,KI,160,551,179,339,0,0
SEA 34-1466,KI,99,303,79,179,0,1
SEA 34-1502,KI,99,342,122,223,0,2
SEA 34-1468,KI,132,448,123,256,0,1
SEA 34-1500,KI,156,584,171,328,0,1
SEA 34-1501,KI,125,369,121,248,0,2
SEA 34-1506,KI,99,299,83,183,0,1
SEA 34-1507,KI,100,357,129,230,0,1
SEA 34-1504,KI,139,418,128,267,0,0
SEA 46-2291,KI,116,387,86,204,0,2
SEA 43-1821,KI,83,233,61,144,0,0
SEA 43-1869,KI,134,465,136,270,0,0
SEA 46-2296,KI,119,391,116,237,0,2
SEA 46-2277,KI,165,568,203,368,0,0
SEA 43-1369,KI,66,285,98,165,0,1
SEA 43-2015,KI,87,333,108,195,0,0
SEA 37-1950,KI,46,187,20,67,0,1
SEA 34-1489,KI,177,744,160,338,0,1
SEA 34-1488,KI,154,692,129,284,0,1
SEA 34-1482,KI,95,321,84,180,0,1
SEA 34-1481,KI,122,479,101,227,0,4
SEA 34-1480,KI,183,594,156,339,0,0
SEA 34-1487,KI,112,335,91,205,0,2
SEA 34-1486,KI,100,364,100,201,0,1
SEA 34-1485,KI,183,708,122,307,0,2
SEA 34-1484,KI,100,345,79,180,0,1
SEA 36-3153,KI,103,390,84,187,0,0
SEA 46-2358,KI,260,846,230,494,0,4
SEA 37-1918,KI,92,347,118,212,0,2
SEA 37-1919,KI,96,378,110,207,0,1
SEA 37-2686,KI,175,604,111,291,0,5
SEA 36-3252,KI,108,477,101,211,0,2
SEA 37-1915,KI,120,384,138,260,0,2
