Row Label,County,Kristina Kephart Swanson
Memorial,CZ,220
Windemere,CZ,469
Modrow,CZ,271
Ostrander,CZ,337
Baltimore,CZ,342
Magnolia,CZ,513
Hudson,CZ,370
Lake,CZ,297
Douglas,CZ,249
Kessler,CZ,413
St. Helens,CZ,164
Woodage,CZ,201
Arkansas,CZ,139
Olson,CZ,209
Woodland South,CZ,327
Tunstall,CZ,118
Brynion,CZ,252
Marigold,CZ,443
Crawford,CZ,313
Chinook,CZ,359
Ridgecrest,CZ,22
Cloverdale,CZ,244
Elk Ridge,CZ,3
Woodland North,CZ,368
West Kelso,CZ,92
Ponderosa,CZ,271
Owl Creek,CZ,424
Willow Grove,CZ,102
Robbins,CZ,437
Powell,CZ,301
Ocean Beach,CZ,301
Sparks,CZ,200
Beacon,CZ,438
Harris,CZ,287
Delameter,CZ,276
Ryderwood,CZ,142
Redpath,CZ,259
Nevada,CZ,290
Sandy Bend,CZ,299
Mint Valley,CZ,505
Burcham,CZ,549
Columbia Valley Gdns,CZ,232
Lexington,CZ,307
Rose Valley,CZ,207
Mt. Solo,CZ,95
Haussler,CZ,217
Silver Lake,CZ,504
Ammons,CZ,223
Kalama North,CZ,257
Yale,CZ,219
Bakers,CZ,14
Sacajawea,CZ,629
Alabama,CZ,223
Kalama South,CZ,343
Mill,CZ,411
Caples,CZ,107
Lone Oak,CZ,184
Lewis River,CZ,372
Industrial,CZ,0
Castle Rock,CZ,423
Stella,CZ,282
Toutle,CZ,388
Tower,CZ,473
Columbia Heights,CZ,188
Pacific,CZ,368
McGowan,CZ,66
Hillcrest,CZ,547
Boondox,CZ,11
View,CZ,221
Coal Creek,CZ,404
Laurel,CZ,396
Carrolls,CZ,310
Total,CZ,20437
