Row Label,County,Philip J. Van de Veer
Usk,PE,136
Diamond Lk East,PE,88
Sacheen,PE,171
Diamond Lk,PE,263
Diamond Lk West,PE,126
Noble,PE,229
Furport,PE,181
Deer Valley South,PE,57
Cusick,PE,90
Ione East,PE,118
Kalispel Leclerc,PE,115
Tiger Dry Canyon,PE,212
Ruby,PE,21
Ione West,PE,139
Newport NE,PE,197
Metaline,PE,66
Newport SE,PE,94
Skookum,PE,48
Newport NW,PE,186
Newport SW,PE,141
Dalkena,PE,208
Deer Valley North,PE,164
Locke,PE,30
Fertile Valley South,PE,118
Fertile Valley North,PE,110
Camden,PE,103
Total,PE,3536
Metaline Falls,PE,125
