Row Label,County,Shon Small,Timothy Dalton
W3 - P535,BE,63,48
215,BE,93,81
Ridge,BE,0,0
Kiona,BE,225,167
210,BE,106,78
Hedges,BE,127,79
Weidle,BE,32,18
Randy,BE,73,44
W2 - P641,BE,127,45
W2 - P640,BE,181,77
135,BE,127,74
165,BE,91,85
W1 - P685,BE,213,125
W1 - P686,BE,177,112
W1 - P680,BE,201,135
W1 - P681,BE,180,63
W1 - P682,BE,263,122
W1 - P683,BE,174,79
El Rancho,BE,275,152
Columbia(*),BE,0,0
Benton South,BE,153,95
W3 - P545,BE,82,58
French,BE,14,21
289,BE,271,130
288,BE,156,72
(none),BE,138,119
Carley(*),BE,0,0
281,BE,253,112
280,BE,213,101
283,BE,137,80
220,BE,75,77
285,BE,252,168
284,BE,168,61
287,BE,83,74
286,BE,133,76
235,BE,108,56
Apricot,BE,52,18
Benton East,BE,0,0
455,BE,176,79
Reata,BE,139,90
W1 - P670,BE,156,74
W3-P511,BE,11,7
W1 - P675,BE,82,40
W1 - P674,BE,102,88
265,BE,115,88
W1 - P676,BE,222,128
Harrington,BE,198,135
W3 - P558,BE,238,130
W3 - P559,BE,212,129
W3 - P552,BE,183,94
W3 - P553,BE,164,86
W3 - P550,BE,168,121
W3 - P551,BE,142,93
W3 - P556,BE,221,125
W3 - P557,BE,172,136
WR 11,BE,160,114
W3 - P555,BE,124,90
WR 17,BE,130,65
130,BE,144,82
WR 16,BE,106,76
Onion(*),BE,0,0
Benton North,BE,230,120
292,BE,116,76
293,BE,100,56
290,BE,169,116
Badger,BE,148,72
Crow Butte,BE,29,4
195,BE,121,89
Washington,BE,61,34
311,BE,0,0
310,BE,176,115
Mills,BE,195,130
Rattlesnake,BE,59,13
Liberty,BE,9,2
115,BE,115,64
271,BE,77,53
W1 - P660,BE,158,105
W1 - P667,BE,65,58
W1 - P664,BE,273,149
W1 - P665,BE,223,117
278,BE,213,96
279,BE,63,41
W1 - P668,BE,269,154
W1 - P669,BE,101,69
175,BE,263,152
Wheat,BE,0,0
Walnut Grove,BE,146,50
Kennewick Valley,BE,133,118
Hawthorne,BE,94,77
W3 - P560,BE,88,44
255,BE,107,119
Yellowstone,BE,96,53
Cook,BE,9,6
Celilo,BE,201,112
WR 10,BE,13,12
Black Rock(*),BE,0,0
Orchard,BE,11,5
Reese(*),BE,0,0
300,BE,160,86
301,BE,143,115
Jewel,BE,22,12
305,BE,173,93
W1 - P657,BE,148,66
W1 - P656,BE,69,56
W1 - P655,BE,127,41
240,BE,202,126
W1 - P651,BE,43,16
W1 - P650,BE,193,118
Ivey,BE,99,93
105,BE,91,67
245,BE,108,81
Hanford 4,BE,0,0
Hanford 3,BE,0,0
Hanford 2,BE,0,0
Hanford 1,BE,0,0
Cascade,BE,122,105
W3-P516(*),BE,0,0
Roe,BE,10,6
WR 1,BE,75,60
W2 - P633,BE,201,90
Cone,BE,96,70
W3 - P540,BE,152,98
160,BE,198,101
291,BE,177,135
282,BE,286,124
Elk,BE,0,0
125,BE,114,63
450,BE,229,86
Salmon,BE,32,24
Umatilla,BE,71,49
W1 - P645,BE,30,25
W1 - P646,BE,54,40
Gage,BE,3,2
W2 - P625,BE,163,103
Bobbie,BE,0,0
W2 - P639,BE,97,73
W2 - P601,BE,83,54
W2 - P600,BE,85,53
Riverside,BE,200,106
W2 - P605,BE,108,88
Finley,BE,202,178
170,BE,91,100
W3 - P505,BE,96,95
Buena Vista,BE,329,114
W3 - P500,BE,33,15
Demoss,BE,9,8
Sunny,BE,39,24
180,BE,83,58
316,BE,0,0
Pearson(*),BE,0,0
Candy(*),BE,0,0
W2 - P570,BE,153,72
186,BE,55,30
Dot,BE,77,54
W2 - P575,BE,60,50
185,BE,47,68
250,BE,129,104
Vineyard(*),BE,0,0
465,BE,223,76
Horse Heaven,BE,23,17
460,BE,194,59
315,BE,290,141
McBee(*),BE,0,0
190,BE,158,103
Enterprise,BE,109,78
W2 - P590,BE,77,100
W2 - P610,BE,103,69
W2 - P595,BE,121,84
Prosser North,BE,213,66
W2 - P615,BE,40,27
270,BE,189,99
W3 - P515,BE,75,63
W3 - P510,BE,66,58
225,BE,124,77
Miller(*),BE,0,0
W2 - P565,BE,58,53
Canyon,BE,182,83
295,BE,150,109
W2 - P560,BE,95,51
Roza,BE,0,0
Edgewater,BE,130,86
Griffin(*),BE,0,0
110,BE,121,89
151,BE,258,163
150,BE,207,111
Vista,BE,79,46
WR 4,BE,236,137
Legion,BE,163,108
Cherry,BE,194,99
Oak,BE,68,63
WR 9,BE,126,78
WR 8,BE,225,140
W1-P663,BE,166,71
Paterson,BE,7,14
WR 2,BE,92,61
WR 3,BE,62,63
W2 - P626,BE,82,63
W2 - P580,BE,102,65
W3 - P520,BE,50,41
WR 7,BE,178,130
Chandler,BE,26,14
W3 - P525,BE,76,98
W2 - P585,BE,64,74
W2-P574,BE,99,50
230,BE,91,63
Yakima(*),BE,0,0
WR13,BE,134,82
WR14,BE,239,142
WR15,BE,134,96
WR 6,BE,239,129
