Row Label,County,Stephen M. Brown
PRECINCT 107,DG,115
PRECINCT 106,DG,129
PRECINCT 105,DG,92
PRECINCT 104,DG,334
PRECINCT 103,DG,66
PRECINCT 102,DG,275
PRECINCT 101,DG,145
PRECINCT 109,DG,104
PRECINCT 108,DG,131
PRECINCT 305,DG,114
PRECINCT 304,DG,37
PRECINCT 307,DG,33
PRECINCT 306,DG,115
PRECINCT 208,DG,119
PRECINCT 209,DG,226
PRECINCT 303,DG,145
PRECINCT 302,DG,237
PRECINCT 204,DG,214
PRECINCT 205,DG,281
PRECINCT 206,DG,121
PRECINCT 207,DG,254
PRECINCT 309,DG,54
PRECINCT 201,DG,156
PRECINCT 202,DG,63
PRECINCT 203,DG,201
PRECINCT 311,DG,91
PRECINCT 310,DG,84
PRECINCT 316,DG,204
PRECINCT 308,DG,30
PRECINCT 314,DG,38
PRECINCT 315,DG,233
PRECINCT 114,DG,118
PRECINCT 110,DG,189
PRECINCT 111,DG,233
PRECINCT 112,DG,154
PRECINCT 113,DG,153
PRECINCT 318,DG,62
PRECINCT 312,DG,124
PRECINCT 313,DG,38
PRECINCT 215,DG,192
PRECINCT 214,DG,53
PRECINCT 213,DG,112
PRECINCT 212,DG,142
PRECINCT 211,DG,58
PRECINCT 210,DG,82
PRECINCT 317,DG,317
PRECINCT 301,DG,289
Total,DG,6757
