Row Label,County,Dave Reichert,Jason Ritchie
31-903(*),PI,0,0
31-900,PI,221,89
31-901,PI,31,18
31-902,PI,385,229
31-904,PI,44,33
31-905,PI,270,132
31-906,PI,152,75
31-907,PI,240,114
31-908,PI,205,86
31-909,PI,195,120
02-148,PI,415,156
31-912,PI,179,102
02-149,PI,415,198
31-856,PI,265,110
02-142,PI,288,139
31-854,PI,123,78
31-855,PI,168,112
31-853,PI,55,30
31-919,PI,231,150
31-917,PI,410,164
31-916,PI,270,115
31-915,PI,60,15
31-914,PI,202,89
31-913,PI,145,40
31-898,PI,324,165
31-911,PI,168,72
31-910,PI,237,117
31-892(*),PI,0,0
30-706,PI,247,158
02-139,PI,379,123
02-138,PI,448,196
02-137,PI,210,78
02-136,PI,68,33
02-135,PI,439,155
02-134,PI,404,170
02-133,PI,75,55
31-845,PI,222,133
31-844,PI,198,90
31-847,PI,118,80
31-846,PI,116,46
31-841,PI,139,89
31-840,PI,147,52
28-588,PI,375,168
31-842,PI,289,106
28-586,PI,289,161
28-587,PI,212,129
28-585,PI,370,188
31-849,PI,100,45
31-848,PI,53,22
31-893(*),PI,0,0
25-281,PI,262,127
25-282,PI,402,180
25-283,PI,193,107
25-284,PI,189,103
25-285,PI,565,194
25-286,PI,351,198
25-287,PI,3,3
25-288,PI,409,166
25-289,PI,0,0
02-140,PI,456,133
02-141,PI,418,152
02-146,PI,279,133
02-147,PI,299,115
02-144,PI,326,157
02-145,PI,391,140
31-875,PI,379,180
31-876,PI,17,9
31-877,PI,159,69
31-879,PI,85,25
02-159,PI,232,93
02-158,PI,287,182
02-151,PI,124,58
02-150,PI,327,135
02-153,PI,345,130
02-152,PI,451,145
02-155,PI,374,173
02-154,PI,340,111
02-157,PI,465,197
02-156,PI,485,209
31-869,PI,161,58
31-865,PI,83,47
31-861,PI,81,36
31-882,PI,326,138
31-818,PI,74,47
25-272,PI,409,207
31-813,PI,148,82
31-816,PI,251,146
31-817,PI,303,186
31-814,PI,33,27
31-815,PI,203,127
31-843,PI,213,90
28-589,PI,374,155
31-890,PI,174,77
31-926,PI,8,5
31-927,PI,277,102
31-924,PI,207,72
31-925,PI,58,62
31-923,PI,198,119
31-920,PI,165,139
31-921,PI,245,117
31-880,PI,113,54
31-891,PI,90,60
02-106,PI,406,170
30-709,PI,263,132
02-105,PI,131,72
31-896,PI,4,3
31-897,PI,164,59
31-894,PI,41,24
31-895,PI,277,90
31-885,PI,97,77
30-701,PI,15,4
31-899,PI,165,86
30-707,PI,145,95
30-708,PI,238,151
30-705,PI,146,122
31-884,PI,411,121
31-834,PI,261,113
31-835,PI,403,236
31-836,PI,326,117
31-837,PI,231,120
31-887,PI,258,107
31-833,PI,285,148
31-886,PI,304,136
31-838,PI,203,114
31-839,PI,23,17
31-857,PI,146,93
31-881,PI,218,73
02-114,PI,204,78
31-883,PI,434,158
31-819,PI,135,67
02-111,PI,291,126
02-110,PI,198,94
02-113,PI,216,122
02-112,PI,207,109
31-888,PI,229,110
Total,PI,30683,14263
