Row Label,County,Jim Hurson
DAMMAN,KS,237
VANTAGE,KS,18
ELLENSBURG 20,KS,49
ELLENSBURG 21,KS,84
ELLENSBURG 22,KS,125
ELLENSBURG 23,KS,145
ELLENSBURG 24,KS,256
ELLENSBURG 25,KS,233
THRALL,KS,193
FAIRVIEW,KS,153
NORTHEAST FAIRVIEW,KS,230
ELLENSBURG 9,KS,62
ELLENSBURG 8,KS,59
RIDGEWAY,KS,318
ELLENSBURG 1,KS,35
ELLENSBURG 2,KS,54
ELLENSBURG 5,KS,48
ELLENSBURG 4,KS,29
ELLENSBURG 7,KS,37
ELLENSBURG 6,KS,49
EAST SANDERS,KS,220
KITTITAS 1,KS,96
MANASTASH,KS,164
DENMARK,KS,292
SOUTH ELLENSBURG,KS,280
DRY CREEK,KS,244
NORTH CENTRAL,KS,185
ELLENSBURG 11,KS,87
ELLENSBURG 10,KS,85
ELLENSBURG 13,KS,65
ELLENSBURG 12,KS,76
ELLENSBURG 15,KS,117
ELLENSBURG 14,KS,92
ELLENSBURG 17,KS,134
ELLENSBURG 16,KS,169
ELLENSBURG 19,KS,221
ELLENSBURG 18,KS,31
PARK,KS,247
SANDERS,KS,96
KITTITAS 2,KS,112
NORTH ELLENSBURG,KS,290
THORP,KS,203
Total,KS,5920
