Row Label,County,Rick Larsen,B.J. Guillot
EVERETT  51,SN,159,105
EVERETT  50,SN,170,104
EVERETT  53,SN,185,105
EVERETT  52,SN,163,92
SAMOEA,SN,202,130
EVERETT  59,SN,149,73
EVERETT  58,SN,20,10
MOUNTLAKE TERRACE  8,SN,194,70
MOUNTLAKE TERRACE  9,SN,123,71
MOUNTLAKE TERRACE  4,SN,148,65
MOUNTLAKE TERRACE  5,SN,178,91
MOUNTLAKE TERRACE  6,SN,146,69
MOUNTLAKE TERRACE  7,SN,86,77
MOUNTLAKE TERRACE  1,SN,187,67
MOUNTLAKE TERRACE  2,SN,171,87
MOUNTLAKE TERRACE  3,SN,179,72
RONCREST,SN,59,73
AVALON,SN,93,56
KETCHUM,SN,131,163
PUGET,SN,184,88
HAT ISLAND,SN,18,17
NEWTON,SN,145,95
STANBY,SN,41,51
MUKILTEO 19,SN,138,134
BOEING,SN,106,132
MANOR,SN,186,93
MARYSVILLE 22,SN,200,201
PICNIC POINT,SN,143,105
FIELD,SN,169,121
YORK,SN,191,136
MEADOWDALE,SN,177,100
WINGATE,SN,195,144
MARYSVILLE  9,SN,80,54
MARYSVILLE  8,SN,160,101
LAKEWOOD,SN,114,167
MARYSVILLE  1,SN,104,109
MARYSVILLE  3,SN,185,160
MARYSVILLE  2,SN,79,54
MARYSVILLE  5,SN,194,186
MARYSVILLE  4,SN,142,85
MARYSVILLE  7,SN,105,96
MARYSVILLE  6,SN,115,108
EVERETT  11,SN,232,119
LARCH,SN,173,116
EVERETT  13,SN,145,85
EVERETT  12,SN,164,79
EVERETT  15,SN,169,93
EVERETT  14,SN,198,73
EVERETT  17,SN,109,53
EVERETT  16,SN,148,67
EVERETT  19,SN,169,77
EVERETT  18,SN,249,121
WHALEBACK,SN,15,10
MERIDIAN,SN,184,159
SILVANA TERRACE,SN,104,120
MUKILTEO 13,SN,185,155
HILLMAN,SN,153,116
EVERETT  88,SN,165,115
EVERETT  89,SN,141,75
EVERETT  86,SN,141,103
EVERETT  87,SN,96,86
EVERETT  84,SN,54,28
EVERETT  85,SN,121,92
EVERETT  82,SN,121,102
EVERETT  83,SN,126,96
EVERETT  80,SN,176,141
EVERETT  81,SN,106,38
LAKE HOWARD,SN,160,150
Total,SN,61461,43228
TYEE,SN,149,130
MILLARD,SN,79,108
MEADOWCREST,SN,168,116
OLIVIA,SN,32,13
HIWAY,SN,25,10
EDGECOMB,SN,118,153
FILBERT,SN,221,151
MARYSVILLE 27,SN,194,184
MARYSVILLE 26,SN,197,141
MARYSVILLE 25,SN,106,63
MARYSVILLE 24,SN,134,125
MARYSVILLE 23,SN,213,204
TERRACE,SN,47,27
MARYSVILLE 21,SN,221,236
MARYSVILLE 20,SN,162,126
MARYSVILLE 29,SN,87,76
MARYSVILLE 28,SN,99,83
GROVE,SN,195,154
MUKILTEO 20,SN,237,153
CRYSTAL,SN,183,103
SHOECRAFT,SN,167,215
ROWLAND,SN,103,113
LANTERN,SN,163,137
HUNT,SN,3,2
WENBERG,SN,162,149
KAYAK,SN,143,156
EMERALD,SN,150,125
EBEY,SN,13,24
BEVERLY,SN,176,98
EVERETT  34,SN,107,81
EVERETT  48,SN,134,91
EVERETT  49,SN,206,136
EVERETT  42,SN,131,87
EVERETT  43,SN,76,90
EVERETT  40,SN,78,52
EVERETT  41,SN,133,93
EVERETT  46,SN,145,82
EVERETT  47,SN,181,85
EVERETT  44,SN,124,68
EVERETT  45,SN,138,86
CYPRESS,SN,180,128
SYLVAN,SN,13,12
LYNNWOOD 29,SN,230,139
HAPPY VALLEY,SN,104,113
FAIRWOOD,SN,81,68
JEFFERSON,SN,137,72
THRASHERS,SN,161,107
HILLTOP,SN,228,186
HOLIDAY,SN,83,60
KENTISH,SN,131,91
CASCADE,SN,127,69
TOWER,SN,175,113
WILLOWDALE,SN,224,130
VILLE,SN,58,71
LOCUST,SN,183,122
SOUTH ALDERWOOD,SN,241,145
DALE,SN,183,112
SERENE,SN,168,123
JEFF,SN,124,95
ALICIA,SN,201,137
EASTMONT,SN,165,75
MARYSVILLE 33(*),SN,0,0
NORMA,SN,159,79
DUMAS,SN,148,146
WANDERING CREEK,SN,197,150
FOREST,SN,190,135
EMANDER,SN,187,108
ARLINGTON 13,SN,173,227
DAMSON,SN,242,132
MADISON,SN,240,160
EVERETT  10,SN,145,67
LYNNWOOD 18,SN,182,104
LYNNWOOD 19,SN,181,120
LYNNWOOD 12,SN,204,90
LYNNWOOD 13,SN,126,96
LYNNWOOD 10,SN,113,55
LYNNWOOD 11,SN,188,105
LYNNWOOD 16,SN,166,82
LYNNWOOD 17,SN,249,130
LYNNWOOD 14,SN,143,83
LYNNWOOD 15,SN,129,79
