Row Label,County,Chris Barringer,Registered Voters,Times Blank Voted,Times Counted,Times Over Voted,Write-in,Mark Hargrove
KEN 47-2836,KI,116,531,7,259,0,0,136
KEN 47-2403,KI,99,466,6,171,0,0,66
KEN 47-2834,KI,117,564,9,255,0,0,129
KEN 47-3189,KI,103,732,10,206,0,1,92
AUB 47-3585,KI,83,374,6,152,0,1,62
COV 47-1153,KI,124,626,9,284,0,1,150
LITTLE SOOS,KI,102,463,9,268,0,0,157
ROYAL,KI,43,320,11,163,0,0,109
KEN 47-3180,KI,95,541,11,187,0,0,81
KEN 47-2838,KI,151,650,15,307,0,0,141
KEN 47-3344,KI,126,473,14,298,0,0,158
AUB 47-3187,KI,79,432,11,201,0,0,111
COV 47-2843,KI,139,792,9,395,0,1,246
NATHAN,KI,95,507,10,297,0,0,192
KEN 47-2939,KI,51,314,11,121,0,0,59
PLAINS,KI,130,742,12,430,0,0,288
KEN 47-0835,KI,154,645,14,276,0,0,108
KEN 47-3300,KI,120,527,14,254,0,1,119
LAKE YOUNGS,KI,112,669,20,390,0,2,256
GRASS LAKE,KI,103,374,9,235,0,0,123
KEN 47-3136,KI,47,293,3,119,0,0,69
KEN 47-3184,KI,154,776,14,384,0,0,216
AUB 47-3591,KI,79,445,7,206,0,0,120
KEN 47-3190,KI,129,693,15,241,0,0,97
LAKE DESIRE,KI,135,605,11,323,0,0,177
COV 47-2586,KI,88,588,11,243,0,0,144
COV 47-1127,KI,117,606,17,303,0,0,169
AUB 47-0041,KI,152,735,12,303,0,0,139
AUB 47-3455,KI,80,439,4,229,0,0,145
AUB 47-0045,KI,205,674,9,351,0,2,135
AUB 47-3324,KI,150,577,17,360,0,0,193
AUB 47-3518,KI,147,640,18,309,0,0,144
KEN 47-0246,KI,122,479,9,261,0,0,130
KEN 47-2599,KI,159,748,18,345,0,0,168
DARWOOD,KI,86,472,17,285,0,0,182
KEN 47-0482,KI,133,671,17,301,0,2,149
KEN 47-0880,KI,76,362,12,148,0,0,60
KEN 47-3537,KI,130,557,16,249,0,1,102
AUB 47-0059,KI,126,678,14,365,0,0,225
KEN 47-3447,KI,58,248,4,107,0,0,45
KEN 47-2667,KI,97,528,12,176,0,0,67
AUB 47-0055,KI,72,391,8,156,0,0,76
COV 47-2982,KI,98,553,16,251,0,0,137
AUB 47-3413,KI,146,758,14,323,0,0,163
KEN 47-2585,KI,169,819,18,431,0,0,244
KEN 47-0238,KI,164,723,16,349,0,1,168
KEN 47-0498,KI,42,231,1,94,0,0,51
AUB 47-2839,KI,179,692,15,430,0,1,235
HAM LAKE,KI,84,467,12,267,0,1,170
AUB 47-0328,KI,153,684,15,397,0,1,228
PEGGY,KI,151,775,27,390,0,0,212
RUDDELL,KI,95,397,2,214,0,2,115
RUSS,KI,1,24,1,11,0,0,9
KEN 47-1034,KI,176,745,17,356,0,0,163
