Row Label,County,Yes,No
Friday Harbor North,SJ,220,281
San Juan South East,SJ,142,237
Lopez North,SJ,266,584
Total,SJ,2869,5452
Decatur and Outer Is,SJ,24,25
Shaw,SJ,38,71
San Juan West,SJ,201,348
Turn Point,SJ,82,171
San Juan South West,SJ,158,399
Orcas East,SJ,172,382
Eastsound,SJ,229,448
Blakely &amp; Outer Is,SJ,15,19
Friday Harbor South,SJ,142,226
Waldron &amp; Outer Is,SJ,21,48
Orcas Central,SJ,206,425
San Juan North,SJ,186,290
Lopez South,SJ,184,437
Orcas West,SJ,224,419
San Juan East,SJ,146,281
San Juan Central,SJ,213,361
