Row Label,County,Rick Talbert 
25-260,PI,375
25-261,PI,268
25-248,PI,438
25-249,PI,399
25-244,PI,455
25-245,PI,2
25-246,PI,30
25-247,PI,364
25-241,PI,210
25-242,PI,414
25-243,PI,320
29-619,PI,297
29-618,PI,259
29-617,PI,307
29-616,PI,300
29-615,PI,373
29-614,PI,369
29-613,PI,342
29-612,PI,166
27-459,PI,218
27-458,PI,221
29-625,PI,7
27-453,PI,243
27-452,PI,343
27-451,PI,301
27-450,PI,394
27-457,PI,327
27-456,PI,270
27-455,PI,307
27-454,PI,379
25-259,PI,384
25-258,PI,399
29-622,PI,243
25-253,PI,237
25-252,PI,348
25-257,PI,347
25-256,PI,350
25-255,PI,240
25-254,PI,223
27-447,PI,351
25-239,PI,393
25-238,PI,206
29-620,PI,187
29-621,PI,1
29-662,PI,0
29-663,PI,298
29-660,PI,385
29-661,PI,263
29-664,PI,317
29-623,PI,74
27-449,PI,367
27-444,PI,320
27-445,PI,311
27-446,PI,313
Total,PI,16028
25-293,PI,366
25-292,PI,407
