Row Label,County,Joel Kretz,Ronnie Rae
JENNINGS LOOP,OK,25,5
TUNK CREEK,OK,73,14
NORTH TONASKET,OK,70,14
GREENACRES,OK,33,6
OMAK #21,OK,28,3
BUCKHORN MTN,OK,44,9
OMAK #23,OK,18,5
OMAK #22,OK,38,11
OMAK #24,OK,22,15
ELMWAY,OK,35,7
WEST RIVER,OK,33,5
TEAL LAKE,OK,38,3
OMAK RIVER,OK,49,3
AENEAS CREEK,OK,48,6
OMAK #19,OK,33,4
PINE CONE,OK,33,4
ASTON,OK,32,5
WHISKY MTN,OK,16,2
LIME BELT,OK,28,5
ELLISFORDE,OK,64,10
AENEAS LAKE,OK,69,9
OMAK #6,OK,46,5
OMAK #7,OK,36,7
OMAK #4,OK,32,6
OMAK #5,OK,38,12
OMAK #2,OK,38,13
OMAK #3,OK,17,4
OMAK #1,OK,27,3
OMAK #8,OK,16,8
ANTOINE PEAK,OK,19,9
OKANOGAN #2,OK,43,10
OKANOGAN #3,OK,24,2
OKANOGAN #1,OK,35,5
OKANOGAN #6,OK,45,10
OKANOGAN #7,OK,17,5
OKANOGAN #4,OK,45,6
BONAPARTE,OK,33,2
OKANOGAN #8,OK,31,9
OKANOGAN #9,OK,44,7
KIPLING,OK,38,6
LONGANECKER,OK,28,8
NORTH OMAK,OK,30,4
PALMER LAKE,OK,48,2
OMAK #10,OK,46,7
MOLSON,OK,57,15
YARNELL,OK,33,2
HAVILLAH,OK,72,8
WHITESTONE,OK,37,3
CHEWILIKEN,OK,25,7
MYERS CREEK,OK,23,3
OMAK #20,OK,52,8
ANTOINE CREEK,OK,29,9
CHESAW,OK,43,6
FRONTAGE(*),OK,0,0
CAYUSE MTN,OK,28,5
SOURDOUGH,OK,67,3
HIGHWAY,OK,19,3
SIMILKAMEEN,OK,31,2
CAPE LABELLE,OK,29,10
BLUE LAKE,OK,47,8
BOUNDARY,OK,52,4
OMAK #9,OK,67,12
OROVILLE #10,OK,30,17
LAKE ANDREWS,OK,44,5
ENGH,OK,57,14
RIVERSIDE RURAL,OK,85,12
SPECTACLE LAKE,OK,48,4
NICHOLS(*),OK,0,0
OROVILLE #8,OK,38,4
OROVILLE #9,OK,27,6
OROVILLE #4,OK,36,3
OROVILLE #5,OK,39,11
OROVILLE #6,OK,24,5
OROVILLE #7,OK,28,4
OROVILLE #1,OK,38,8
OROVILLE #2,OK,23,5
OROVILLE #3,OK,24,6
COPPLE,OK,55,9
OKANOGAN #5,OK,41,9
TORODA,OK,55,16
HORSESHOE LAKE,OK,38,8
CONCONULLY CITY,OK,72,12
SOUTH OROVILLE(*),OK,0,0
COLEMAN BUTTE,OK,45,9
JOHNSON CREEK,OK,48,10
TONASKET CREEK,OK,38,2
DUFFYS MTN,OK,30,2
LOOMIS,OK,60,2
RIVERSIDE CITY,OK,54,15
SHORELINE,OK,31,4
BEEMAN,OK,69,9
CRUMBACHER,OK,69,4
OMAK #11,OK,64,10
OMAK #12,OK,48,7
OMAK #13,OK,31,8
OMAK #14,OK,24,6
OMAK #15,OK,58,6
OMAK #16,OK,33,11
OMAK #17,OK,57,16
PICKENS MTN,OK,30,13
EDER,OK,47,6
WANNACUT,OK,65,14
JANIS,OK,27,7
SIWASH CREEK,OK,40,10
CHEROKEE,OK,58,7
RANCHES,OK,14,9
TONASKET #5,OK,27,13
TONASKET #4,OK,40,5
TONASKET #7,OK,42,9
LEESE,OK,21,4
TONASKET #1,OK,27,5
OKANOGAN #11,OK,47,5
TONASKET #3,OK,19,2
TONASKET #2,OK,31,11
ANGLIN,OK,60,12
WESTLAKE(*),OK,0,0
SAND FLAT,OK,68,2
TONASKET RURAL,OK,24,13
BODIE,OK,18,5
AENEAS,OK,35,10
PINE CREEK,OK,44,3
TONASKET #6,OK,23,3
OKANOGAN #10,OK,58,3
OKANOGAN #12,OK,28,4
WAUCONDA,OK,53,10
OKANOGAN #13,OK,24,6
NIGHTHAWK,OK,15,3
CONCONULLY RURAL,OK,35,7
SAN POIL,OK,76,15
OMAK #18,OK,12,17
GUSTY RIDGE,OK,39,2
EASTLAKE,OK,27,2
Total,OK,5201,922
