Row Label,County,Wade S. Samuelson
Salzer,LE,110
Napavine #2,LE,0
Napavine #3,LE,1
Packwood,LE,67
Napavine #5,LE,0
Napavine #6,LE,0
Napavine #1,LE,338
Union,LE,186
Paradise,LE,36
Napavine #4,LE,0
Urquhart,LE,150
Mossyrock,LE,103
Independence,LE,50
Sommerville,LE,45
Stillwater West,LE,131
Veness,LE,237
Greenwood,LE,8
Stearns Creek,LE,104
Elk Crk,LE,77
Stillwater East,LE,74
Agate,LE,124
Skookumchuck,LE,253
Silver Creek,LE,232
Meskill,LE,46
Onalaska,LE,472
Jackson,LE,320
Toledo,LE,135
Mauermann,LE,59
Chehalis #9,LE,12
Chehalis #8,LE,178
Harmony,LE,231
Chehalis #1,LE,194
Chehalis #3,LE,147
Chehalis #2,LE,132
Chehalis #5,LE,129
Chehalis #4,LE,141
Chehalis #7,LE,47
Chehalis #6,LE,252
Centralia #2,LE,286
Centralia #3,LE,111
Centralia #1,LE,107
Centralia #6,LE,229
Centralia #7,LE,121
Centralia #4,LE,165
Centralia #5,LE,138
Centralia #8,LE,143
Centralia #9,LE,290
Mineral,LE,122
Salkum,LE,201
Randle West,LE,164
Ethel,LE,306
Fair,LE,0
Crego,LE,553
Parcuvia,LE,200
Evaline West,LE,143
Pe Ell,LE,136
Newaukum,LE,215
Forest,LE,274
Dryad,LE,89
Temple,LE,180
Cowlitz,LE,410
Drews Prairie,LE,124
Seminary Hill,LE,134
Klickitat,LE,137
Verndale,LE,230
Cinebar,LE,204
Whealdon,LE,193
Roswell,LE,6
Sears,LE,191
Emery North,LE,2
Adna ,LE,420
Big Bottom,LE,251
Fords Prairie,LE,298
Jackson North,LE,0
Boistfort,LE,80
Claquato,LE,256
Curtis,LE,96
Vader,LE,107
Logan,LE,245
Alpha,LE,324
Berwick,LE,369
Evaline East,LE,90
Lincoln Creek,LE,215
Randle East,LE,221
Salmon Creek,LE,383
Emery,LE,154
Winlock,LE,206
Prescott,LE,472
Total,LE,16097
Kelly,LE,0
Mellen,LE,1
Centralia #10,LE,115
Centralia #11,LE,291
Centralia #12,LE,343
Centralia #13,LE,354
Morton,LE,181
