Row Label,County,Judi Hangartner,Lindsey Schromen-Wawrin,Norma E. Turner,Maggie Roth,Susan Shotthafer,Steven Burke,Patti Morris,Kaj Ahlburg,Selinda Barkhuis,Stephanie Noblin,Diane Haffner,Marcia Farrell,Glenn Wiggins,Scott A. Clausen,Sean Ryan,Robert (Rob) Robertsen,Dennis R. McBride
OBRIEN 253,CM,39,51,115,147,75,107,89,122,96,90,88,25,158,73,57,90,88
BLUFFS 210,CM,33,50,77,101,43,88,46,68,60,57,69,24,88,53,41,49,61
MOUNT PLEASANT 251,CM,33,64,153,182,75,116,93,128,121,85,97,23,189,70,51,75,76
BELLEVIEW 205,CM,52,80,193,176,75,135,125,104,111,101,114,27,224,94,80,107,103
DEER PARK 220,CM,55,100,182,150,89,129,114,108,124,106,110,38,206,88,63,135,104
CLARK 216,CM,20,32,73,61,25,58,53,35,60,24,65,16,62,26,33,39,43
PORT ANGELES 103,CM,69,129,248,191,94,154,141,145,164,98,136,48,271,103,105,115,118
PORT ANGELES 102,CM,68,120,229,161,76,152,147,102,151,119,148,48,221,95,83,121,128
PORT ANGELES 101,CM,36,59,141,130,66,101,84,86,95,73,88,23,181,72,45,84,61
MONTERRA 249,CM,48,72,138,175,81,119,103,119,100,108,119,36,153,87,89,95,87
PORT ANGELES 107,CM,66,140,250,183,87,184,181,110,182,97,139,40,247,105,79,149,95
PORT ANGELES 106,CM,42,93,200,132,72,141,113,93,128,63,111,23,221,80,63,96,80
PORT ANGELES 105,CM,59,120,244,163,85,152,151,108,159,99,138,41,241,112,75,133,94
PORT ANGELES 104,CM,47,94,175,113,73,105,95,82,114,81,105,37,156,48,58,89,69
AGNEW 201,CM,43,52,110,154,54,112,90,100,93,73,94,29,147,83,66,70,90
ROBIN HILL 266,CM,47,69,114,130,66,77,98,71,86,69,98,44,100,83,69,101,70
MOUNT ANGELES 250,CM,16,72,130,91,32,88,64,78,80,61,79,15,132,37,37,67,40
Total,CM,875,1559,3094,2763,1325,2256,1978,1895,2144,1615,2035,601,3389,1511,1243,1830,1595
FAIRVIEW 232,CM,53,84,181,161,83,142,91,111,112,100,118,32,216,106,78,101,85
BLUE MOUNTAIN 209,CM,49,78,141,162,74,96,100,125,108,111,119,32,176,96,71,114,103
