Row Label,County,Allen McPheeters,Strom Peterson
EDMONDS 51,SN,110,204
ROYAL,SN,207,214
MEADOWCREST,SN,120,163
OLIVIA,SN,14,29
MANORDALE,SN,112,147
HIWAY,SN,9,24
EDMONDS  2,SN,128,230
EDMONDS  3,SN,113,271
HAMPTON,SN,119,192
EDMONDS  1,SN,143,194
EDMONDS  7,SN,125,291
EDMONDS  4,SN,87,225
SHELBY,SN,89,149
EVERETT  79,SN,106,150
EDMONDS  9,SN,87,149
RHODY RIDGE,SN,93,114
KEELER,SN,92,146
TERRACE,SN,25,42
MARTHA LAKE,SN,148,161
MUKILTEO 18,SN,193,223
MUKILTEO 19,SN,139,134
MUKILTEO 12,SN,182,278
MUKILTEO 13,SN,155,179
MUKILTEO 10,SN,82,142
MUKILTEO 11,SN,122,152
MUKILTEO 16,SN,168,248
COVE,SN,115,161
MUKILTEO 14,SN,179,220
MUKILTEO 15,SN,53,52
EDMONDS  5,SN,79,137
POPPY,SN,90,104
EAST SHORE,SN,132,157
EVERETT  61,SN,28,26
EVERETT  64,SN,59,72
EVERETT  65,SN,108,128
EVERETT  66,SN,93,186
CASCADIAN,SN,163,199
ALDER,SN,107,150
HIPOINT,SN,56,132
EMERALD,SN,137,131
LUNDS GULCH,SN,35,75
HEMLOCK,SN,158,244
EVERETT  83(*),SN,0,0
FREEWAY,SN,142,160
PIONEER,SN,121,156
SHORE,SN,135,193
EDMONDS  8,SN,159,293
EVERETT  57,SN,107,158
EVERETT  56,SN,101,136
EVERETT  52,SN,96,151
EDMONDS 11,SN,147,237
EDMONDS 10,SN,130,268
EDMONDS 13,SN,106,310
EDMONDS 17,SN,87,203
LIND,SN,88,193
MUKILTEO  9,SN,127,185
AVALON,SN,50,91
POST,SN,118,161
STOCK SHOW,SN,68,84
PUGET,SN,99,164
ELFIN,SN,84,77
FILBERT,SN,157,208
EDMONDS 24,SN,79,163
NORTHROAD,SN,157,220
EDMONDS 21,SN,192,242
EDMONDS 22,SN,108,225
EDMONDS 23,SN,178,244
EDMONDS 28,SN,111,213
FAIRWOOD,SN,61,79
LYNNWOOD 34,SN,57,104
JEFFERSON,SN,72,133
BEVERLY,SN,101,177
EVERETT  35,SN,146,153
MARINER,SN,103,131
EDMONDS 39,SN,172,255
EDMONDS 38,SN,136,218
KENTISH,SN,98,128
MANOR,SN,89,190
EDMONDS 33,SN,92,203
EDMONDS 32,SN,110,204
EDMONDS 31,SN,117,235
EDMONDS 30,SN,85,181
EDMONDS 37,SN,111,201
EDMONDS 36,SN,105,218
EDMONDS 35,SN,117,169
EDMONDS 34,SN,107,236
ASH,SN,159,227
SHADOW WOOD,SN,93,186
PICNIC POINT,SN,110,137
FIELD,SN,124,159
YORK,SN,146,175
EVERGREEN,SN,82,108
STONE GATE,SN,75,160
EDMONDS 46,SN,215,337
WOODGATE,SN,82,80
WALNUT,SN,93,115
MEADOWDALE,SN,98,177
WINGATE,SN,155,176
BUTTERNUT,SN,124,160
DALE,SN,121,168
CLOVER,SN,112,127
SERENE,SN,124,165
JEFF,SN,91,124
ALICIA,SN,142,189
MUKILTEO 21,SN,86,111
MUKILTEO 20,SN,168,220
ADMIRALTY,SN,76,136
EVERETT  91,SN,80,116
NORMA,SN,83,151
EVERETT  95,SN,61,71
EDMONDS 26,SN,89,160
GROVE,SN,157,188
FOREST,SN,133,182
EMANDER,SN,109,187
GIBSON,SN,69,132
MUKILTEO  5,SN,197,241
MUKILTEO  4,SN,105,135
MUKILTEO  7,SN,106,145
MUKILTEO  6,SN,145,183
MUKILTEO  1,SN,170,251
MUKILTEO  3,SN,113,146
MUKILTEO  2,SN,171,298
STICKNEY,SN,155,147
MUKILTEO  8,SN,93,146
MUKILTEO 17,SN,190,236
HILLMAN,SN,117,146
MADISON,SN,169,224
CASCADE,SN,71,125
EVERETT  84,SN,28,56
EDMONDS 29,SN,93,257
EVERETT  92(*),SN,0,0
LYNNWOOD 19,SN,128,166
Total,SN,14799,22221
