Row Label,County,Brian Blake,Hugh Fleet
Crego,LE,279,479
Curtis,LE,46,92
Evaline West,LE,80,109
Stillwater West,LE,92,87
Emery,LE,83,117
Mauermann,LE,44,41
Veness,LE,134,214
Boistfort,LE,45,76
Total,LE,882,1329
Urquhart,LE,79,114
