Row Label,County,Dan G. Gunkel,Sherry L. Carver
COLUMBUS,KT,27,15
N DALLES,KT,215,138
ROOSEVELT,KT,25,42
GLENWOOD,KT,170,109
HGH PRAIRIE,KT,41,28
LYLE,KT,191,190
F VALLEY,KT,195,113
BINGEN,KT,71,49
WISHRAM,KT,46,39
WHITE SALMON,KT,218,175
ALDER CREEK,KT,99,50
ALDERDALE,KT,22,16
N WHITE SALMON,KT,147,104
PINE FOREST,KT,361,398
GOLDENDALE 3,KT,135,168
ORCHARD HTS,KT,111,132
GOLDENDALE 1,KT,223,205
N F VALLEY,KT,236,146
E LYLE,KT,84,49
E KLICKITAT,KT,32,56
W KLICKITAT,KT,38,37
HUSUM,KT,161,160
TROUT LAKE,KT,153,143
RIVER,KT,8,15
CENTERVILLE,KT,160,155
WOODLAND,KT,384,410
GOLDENDALE 2,KT,193,195
MT BROOK,KT,131,142
Total,KT,3933,3513
APPLETON,KT,56,34
