Row Label,County,Maralyn Chase,Robert Reedy
LYNNWOOD 30,SN,200,121
LYNNWOOD 33,SN,179,119
EDMONDS 49,SN,184,106
EDMONDS 44,SN,224,80
LYNNWOOD  5,SN,110,53
LYNNWOOD  4,SN,144,75
LYNNWOOD  7,SN,223,119
LYNNWOOD  6,SN,174,81
LYNNWOOD  1,SN,104,43
NILE,SN,0,0
LYNNWOOD  3,SN,154,108
LYNNWOOD  2,SN,135,76
HILLTOP,SN,220,181
ALDERCREST,SN,28,33
LYNNWOOD  9,SN,221,107
LYNNWOOD  8,SN,131,77
CHAPEL,SN,152,82
EDMONDS 14,SN,179,59
EDMONDS  6,SN,262,171
WOODWAY 2,SN,96,112
MAGNOLIA,SN,158,82
EDMONDS 45,SN,171,91
HOLLY,SN,236,99
EDMONDS 50,SN,147,66
PACIFIC,SN,53,20
MOUNTLAKE TERRACE 10,SN,271,140
EDMONDS 12,SN,137,55
MOUNTLAKE TERRACE  8,SN,197,60
MOUNTLAKE TERRACE  9,SN,118,78
EDMONDS 16,SN,177,71
EDMONDS 19,SN,261,98
EDMONDS 15,SN,164,87
MOUNTLAKE TERRACE  7,SN,90,71
ROB,SN,133,84
LYNNWOOD 31(*),SN,0,0
LYNNWOOD 23,SN,192,72
LYNNWOOD 22,SN,130,64
LYNNWOOD 21,SN,169,116
LYNNWOOD 20,SN,183,95
LYNNWOOD 26,SN,189,113
LYNNWOOD 25,SN,230,125
LYNNWOOD 24,SN,159,66
LYNNWOOD 29,SN,237,134
LYNNWOOD 28,SN,101,81
SUMMIT,SN,168,101
EDMONDS 18,SN,222,84
WOODWAY 1,SN,190,159
ANN,SN,184,83
Total,SN,11654,6296
EDMONDS 52,SN,196,75
EDMONDS 48,SN,192,98
LARCH,SN,165,117
EDMONDS 47,SN,121,49
CYPRESS,SN,176,123
RIDGEVIEW,SN,97,59
EDMONDS 42,SN,148,86
EDMONDS 43,SN,244,122
EDMONDS 40,SN,230,91
EDMONDS 41,SN,150,68
LAURA,SN,227,120
EDMONDS 25,SN,192,94
LYNNWOOD 18,SN,182,103
EDMONDS 27,SN,178,98
LYNNWOOD 32(*),SN,0,0
LYNNWOOD 12,SN,191,94
LYNNWOOD 13,SN,122,94
LYNNWOOD 10,SN,115,56
LYNNWOOD 11,SN,183,98
LYNNWOOD 16,SN,160,87
LYNNWOOD 17,SN,235,130
LYNNWOOD 14,SN,132,87
LYNNWOOD 15,SN,131,79
