Row Label,County,Mary E. Fairhurst
601 Queets,JE,26
704 Port Townsend,JE,157
101 Gardiner,JE,106
501 Port Ludlow I,JE,404
200 Coyle,JE,144
708 Port Townsend,JE,413
302 Center I,JE,180
702 Port Townsend,JE,194
306 Irondale II,JE,319
300 Chimacum I,JE,199
102 Port Discovery,JE,116
105 Discovery Bay,JE,304
305 Irondale I,JE,240
710 Port Townsend,JE,242
500 Port Ludlow,JE,350
106 North Jacob,JE,223
503 Port Ludlow III,JE,236
301 Chimacum II,JE,125
706 Port Townsend,JE,479
401 Nordland,JE,299
502 Port Ludlow II,JE,222
505 Port Ludlow V,JE,283
709 Port Townsend,JE,394
303 Hadlock,JE,319
304 Kala Point,JE,351
107 South Jacob,JE,321
201 Quilcene,JE,285
308 Center II,JE,113
705 Port Townsend,JE,215
204 Brinnon,JE,369
707 Port Townsend,JE,400
104 Cape George,JE,331
103 Crocker,JE,112
600 Hoh,JE,26
703 Port Townsend,JE,225
700 Port Townsend,JE,317
504 Port Ludlow IV,JE,178
Total,JE,9597
701 Port Townsend,JE,165
307 Four Corners,JE,215
