Row Label,County,Brad Maxa
31-900,PI,206
29-680,PI,267
31-902,PI,421
31-903,PI,3
31-904,PI,51
31-905,PI,267
31-906,PI,165
31-907,PI,255
31-908,PI,212
31-909,PI,246
29-640,PI,312
29-641,PI,317
29-642,PI,329
29-643,PI,26
29-648,PI,7
29-649,PI,93
25-239,PI,377
25-238,PI,216
31-901,PI,38
25-235,PI,12
25-237,PI,0
25-236,PI,301
25-230,PI,101
28-588,PI,348
28-589,PI,361
28-586,PI,339
28-587,PI,237
28-584,PI,250
28-585,PI,398
28-582,PI,152
28-583,PI,220
28-580,PI,57
28-581,PI,217
25-280,PI,402
25-281,PI,263
25-282,PI,388
02-149,PI,395
25-284,PI,193
25-285,PI,500
25-286,PI,367
25-287,PI,3
25-288,PI,393
25-289,PI,0
02-140,PI,377
02-141,PI,350
02-146,PI,264
02-147,PI,264
02-144,PI,315
02-145,PI,355
27-439,PI,311
27-438,PI,322
27-435,PI,380
27-434,PI,358
27-437,PI,327
27-436,PI,344
27-431,PI,155
27-430,PI,372
27-433,PI,346
27-432,PI,359
26-339,PI,65
26-338,PI,315
26-333,PI,390
26-332,PI,330
26-331,PI,109
26-330,PI,270
26-337,PI,422
26-336,PI,447
26-335,PI,335
26-334,PI,352
28-515,PI,425
28-517,PI,448
28-516,PI,429
28-519,PI,429
28-518,PI,438
31-869,PI,146
31-865,PI,84
31-861,PI,80
26-348,PI,398
26-349,PI,385
26-346,PI,330
26-347,PI,332
26-344,PI,52
26-345,PI,375
26-342,PI,443
26-343,PI,354
26-340,PI,448
26-341,PI,367
25-271,PI,361
25-270,PI,383
25-273,PI,254
25-272,PI,370
25-275,PI,0
25-274,PI,477
25-277,PI,379
25-276,PI,18
25-279,PI,324
25-278,PI,133
29-682,PI,315
29-683,PI,328
31-923,PI,175
29-619,PI,295
29-618,PI,255
29-617,PI,305
29-616,PI,303
29-615,PI,355
29-614,PI,337
29-613,PI,328
29-612,PI,161
29-611,PI,65
29-610,PI,302
28-559,PI,342
28-558,PI,332
28-551,PI,502
28-550,PI,292
28-553,PI,433
28-552,PI,450
28-555,PI,468
28-554,PI,412
28-557,PI,332
28-556,PI,331
02-115,PI,288
02-114,PI,175
02-117,PI,360
02-116,PI,362
02-111,PI,278
25-291,PI,86
02-113,PI,248
02-112,PI,199
02-143,PI,255
25-290,PI,29
02-119,PI,216
02-118,PI,231
31-823,PI,201
31-822,PI,234
31-827,PI,78
31-826,PI,319
31-825,PI,258
31-824,PI,0
31-829,PI,265
31-828,PI,272
26-302,PI,537
26-303,PI,476
26-301,PI,145
26-304,PI,554
26-305,PI,501
31-892,PI,191
31-893,PI,0
31-890,PI,169
27-471,PI,14
31-891,PI,95
27-475,PI,311
27-477,PI,339
27-476,PI,249
31-896,PI,4
31-897,PI,137
31-894,PI,43
31-895,PI,223
31-856,PI,229
31-857,PI,148
31-854,PI,147
31-855,PI,185
31-853,PI,53
31-919,PI,263
31-917,PI,366
31-916,PI,247
31-915,PI,53
31-914,PI,209
31-913,PI,106
31-912,PI,205
31-911,PI,156
31-910,PI,242
29-653,PI,301
29-652,PI,36
29-651,PI,364
29-650,PI,316
29-657,PI,5
29-656,PI,297
29-655,PI,138
29-654,PI,349
29-659,PI,184
29-658,PI,299
25-208,PI,434
25-209,PI,426
25-201,PI,445
25-202,PI,360
25-203,PI,420
25-204,PI,357
25-205,PI,412
25-206,PI,255
28-590,PI,13
29-626,PI,8
29-627,PI,0
29-624,PI,0
29-625,PI,5
29-622,PI,250
29-623,PI,71
29-620,PI,173
29-621,PI,1
02-159,PI,202
02-158,PI,287
02-151,PI,113
02-150,PI,294
02-153,PI,274
02-152,PI,348
02-155,PI,340
02-154,PI,269
02-157,PI,414
02-156,PI,413
27-408,PI,420
27-409,PI,398
27-401,PI,202
27-404,PI,129
27-405,PI,404
27-406,PI,496
27-407,PI,392
28-520,PI,434
28-521,PI,470
28-522,PI,449
28-523,PI,452
28-524,PI,477
28-525,PI,499
28-526,PI,317
28-527,PI,526
28-528,PI,440
28-529,PI,345
31-818,PI,81
31-819,PI,135
31-813,PI,152
31-810,PI,161
31-816,PI,273
31-817,PI,335
31-814,PI,40
31-815,PI,223
26-351,PI,374
26-350,PI,388
26-352,PI,380
31-926,PI,8
31-927,PI,233
31-924,PI,166
31-925,PI,84
25-248,PI,437
25-249,PI,396
31-920,PI,212
31-921,PI,223
25-244,PI,457
25-245,PI,2
25-246,PI,31
25-247,PI,350
25-240,PI,162
25-241,PI,201
25-242,PI,420
25-243,PI,317
02-110,PI,203
29-668,PI,246
29-669,PI,331
29-662,PI,0
29-663,PI,302
29-660,PI,391
29-661,PI,275
29-667,PI,339
29-664,PI,315
28-565,PI,331
28-566,PI,347
28-567,PI,377
28-560,PI,458
28-561,PI,265
28-562,PI,221
28-563,PI,126
28-568,PI,378
02-148,PI,361
02-120,PI,298
02-121,PI,358
02-122,PI,373
02-123,PI,367
02-124,PI,294
02-125,PI,270
02-126,PI,352
02-127,PI,214
02-128,PI,378
02-129,PI,209
02-142,PI,245
26-315,PI,438
26-317,PI,421
26-316,PI,472
26-319,PI,363
26-318,PI,344
27-448,PI,11
27-449,PI,358
27-444,PI,306
27-445,PI,300
27-446,PI,307
27-447,PI,335
27-440,PI,363
27-441,PI,295
27-442,PI,241
27-443,PI,262
31-845,PI,238
31-844,PI,178
31-847,PI,138
31-846,PI,116
31-841,PI,139
31-840,PI,122
31-843,PI,192
31-842,PI,238
31-849,PI,105
31-848,PI,41
25-217,PI,443
25-216,PI,261
25-215,PI,386
25-213,PI,461
25-212,PI,407
25-211,PI,378
25-210,PI,501
25-219,PI,410
25-218,PI,403
29-671,PI,284
29-670,PI,347
29-675,PI,338
29-677,PI,320
29-676,PI,312
29-635,PI,83
31-883,PI,343
29-637,PI,292
29-636,PI,381
29-633,PI,29
29-639,PI,300
29-638,PI,158
31-882,PI,264
28-538,PI,376
28-537,PI,450
28-536,PI,417
28-535,PI,451
28-531,PI,385
28-530,PI,198
30-713,PI,4
31-809,PI,281
31-808,PI,264
31-801,PI,191
31-803,PI,311
31-802,PI,273
31-805,PI,298
31-804,PI,270
31-807,PI,2
31-806,PI,341
25-293,PI,358
27-417,PI,402
27-416,PI,406
27-415,PI,438
27-414,PI,412
27-413,PI,399
27-412,PI,374
27-411,PI,454
27-410,PI,418
31-898,PI,293
31-899,PI,169
27-419,PI,378
27-418,PI,367
25-292,PI,386
25-259,PI,373
25-258,PI,387
25-253,PI,237
25-252,PI,341
25-251,PI,332
25-250,PI,157
25-257,PI,342
25-256,PI,349
25-255,PI,241
25-254,PI,223
Total,PI,140467
29-679,PI,269
29-678,PI,254
25-228,PI,378
25-226,PI,275
25-227,PI,213
29-673,PI,355
29-672,PI,198
25-222,PI,295
29-674,PI,111
25-220,PI,2
25-221,PI,371
30-708,PI,245
28-573,PI,229
28-572,PI,354
28-571,PI,6
28-570,PI,5
28-577,PI,12
28-576,PI,358
28-575,PI,2
28-574,PI,84
28-579,PI,61
28-578,PI,76
02-139,PI,332
02-138,PI,435
02-137,PI,168
02-136,PI,60
02-135,PI,366
02-134,PI,396
02-133,PI,95
02-131,PI,405
02-130,PI,184
27-428,PI,344
27-429,PI,363
27-426,PI,365
27-427,PI,351
27-424,PI,364
27-425,PI,337
27-422,PI,499
27-423,PI,424
27-420,PI,444
27-421,PI,336
26-328,PI,330
26-329,PI,417
26-324,PI,430
26-325,PI,371
26-326,PI,449
26-327,PI,423
26-320,PI,390
26-321,PI,502
26-322,PI,463
26-323,PI,432
28-506,PI,439
28-507,PI,365
28-504,PI,416
28-505,PI,438
28-502,PI,443
28-503,PI,466
28-501,PI,413
28-508,PI,203
28-509,PI,0
27-459,PI,209
27-458,PI,227
27-453,PI,241
27-452,PI,318
27-451,PI,281
27-450,PI,387
27-457,PI,314
27-456,PI,261
27-455,PI,298
27-454,PI,346
31-873,PI,64
31-874,PI,0
31-875,PI,332
31-876,PI,22
31-877,PI,135
31-879,PI,71
25-283,PI,219
25-262,PI,350
25-263,PI,314
25-260,PI,389
25-261,PI,282
25-266,PI,409
25-267,PI,190
25-264,PI,419
25-265,PI,395
25-268,PI,207
25-269,PI,248
29-600,PI,0
29-601,PI,270
29-602,PI,230
29-603,PI,308
29-604,PI,303
29-605,PI,249
29-606,PI,324
29-607,PI,385
29-608,PI,268
29-609,PI,222
31-881,PI,170
28-548,PI,346
28-549,PI,374
31-880,PI,111
28-542,PI,390
28-543,PI,349
28-540,PI,529
28-541,PI,391
28-546,PI,391
28-547,PI,517
28-545,PI,423
02-106,PI,371
30-709,PI,264
02-105,PI,129
02-101,PI,120
31-885,PI,119
30-701,PI,13
30-707,PI,158
30-706,PI,257
30-705,PI,179
31-884,PI,307
31-834,PI,221
31-835,PI,437
31-836,PI,261
31-837,PI,232
31-830,PI,125
31-887,PI,222
31-833,PI,282
