Row Label,County,Jim Duncan,Dale Johnson
Yellowhawk 58,WL,25,14
Touchet 5 56,WL,2,2
CP 3 63,WL,234,202
Spruce 24,WL,95,93
Birch 05,WL,128,102
Baumeister 04,WL,209,157
Jefferson 13,WL,327,213
Ice Harbor 34,WL,264,116
Alder 02,WL,77,82
Waitsburg 65,WL,250,168
Lincoln 49,WL,49,13
CP 1 61,WL,251,207
Watertown 29,WL,124,103
Frenchtown 4 45,WL,27,15
Ritz 53,WL,301,204
CP 2 62,WL,194,155
Frenchtown 5 44,WL,112,74
Alderbrook 01,WL,111,107
Baker 33,WL,66,29
Edison 08,WL,139,104
Pine 21,WL,98,62
Mill Creek 50,WL,143,84
Sharpstein 23,WL,109,109
Gose 47,WL,71,24
CP 5 67,WL,232,156
Henderson 11,WL,133,117
Burbank 38,WL,302,157
Garfield 09,WL,149,137
Washington 60,WL,95,40
Garrison 46,WL,159,53
Berney 35,WL,148,86
Isaacs 12,WL,96,81
Paine 20,WL,61,72
Pleasant 22,WL,253,225
Wallula 59,WL,22,17
Monroe 18,WL,357,215
Ash 03,WL,221,156
Dixie 41,WL,149,94
Touchet 4 55,WL,172,124
CP 6 68,WL,36,28
Eureka 4 43(*),WL,0,0
Blalock 36,WL,266,163
Stadium 25,WL,110,112
Clyde 39,WL,22,7
CP 4 66,WL,255,244
Pros Point 52,WL,539,284
Wainwright 28,WL,237,154
Moore 51,WL,122,86
Derry 40,WL,97,56
Eureka 5 42(*),WL,0,0
College 07,WL,107,123
Prescott 64,WL,45,33
Green Park 10,WL,88,96
Twin Grove 57,WL,129,102
Tausick 26,WL,139,111
Marcus 17,WL,326,274
Braden 37,WL,315,160
McNary 54,WL,164,59
Maple 16,WL,276,204
Total,WL,9538,6652
Abbott 31,WL,200,87
Clark 06,WL,79,81
