Row Label,County,C. Kimi Kondo,Jon M. Zimmerman,Registered Voters,Times Blank Voted,Times Counted,Times Over Voted,Write-in
SEA 37-1629,KI,101,58,527,61,221,0,1
SEA 46-2344,KI,156,84,760,89,329,0,0
SEA 46-2311,KI,139,56,451,61,256,0,0
SEA 34-3648,KI,136,34,470,69,240,0,1
SEA 46-1968,KI,100,38,297,39,177,0,0
SEA 36-1391,KI,133,49,439,80,262,0,0
SEA 36-1390,KI,110,34,290,47,191,0,0
SEA 36-1393,KI,129,22,297,58,209,0,0
SEA 36-1392,KI,134,49,411,72,255,0,0
SEA 36-1395,KI,155,57,444,64,276,0,0
SEA 36-1394,KI,170,71,559,94,336,0,1
SEA 36-1397,KI,133,29,357,71,233,0,0
SEA 36-1396,KI,98,25,282,43,166,0,0
SEA 36-1399,KI,104,36,296,65,205,0,0
SEA 36-1816,KI,85,40,303,46,172,0,1
SEA 46-3687,KI,58,49,220,36,143,0,0
SEA 43-2017,KI,161,42,430,64,267,0,0
SEA 37-3416,KI,66,34,502,31,134,0,3
SEA 36-1403,KI,109,44,497,81,234,0,0
SEA 36-1402,KI,119,39,381,48,206,0,0
SEA 43-2013,KI,129,21,310,65,216,0,1
SEA 43-2011,KI,94,22,278,71,189,0,2
SEA 46-2353,KI,92,59,488,47,199,0,1
SEA 46-2096,KI,70,38,230,54,162,0,0
SEA 43-2018,KI,238,35,559,90,363,0,0
SEA 34-3637,KI,148,71,567,90,309,0,0
SEA 46-2097,KI,132,45,400,80,257,0,0
SEA 34-3632,KI,44,22,271,33,99,0,0
SEA 46-2276,KI,136,45,382,69,250,0,0
SEA 43-1351,KI,214,30,561,71,315,0,0
SEA 37-1936,KI,115,39,296,67,222,0,1
SEA 43-1353,KI,157,37,449,65,260,0,1
SEA 43-1352,KI,189,43,608,90,322,0,0
SEA 43-1355,KI,141,41,401,59,244,0,3
SEA 43-1354,KI,126,44,435,69,240,0,1
SEA 43-1357,KI,113,30,355,47,192,0,2
SEA 43-2049,KI,123,22,453,61,208,0,2
SEA 43-1359,KI,168,44,518,78,291,0,1
SEA 43-1358,KI,116,37,418,71,224,0,0
SEA 37-1934,KI,273,64,784,134,472,0,1
SEA 37-1935,KI,118,33,291,53,204,0,0
SEA 37-3647,KI,68,42,447,35,146,0,1
SEA 43-2059,KI,144,32,424,76,252,0,0
SEA 37-3159,KI,185,105,845,92,383,0,1
SEA 46-2271,KI,168,59,476,91,319,0,1
SEA 46-2347,KI,121,65,519,93,281,0,2
SEA 46-1952,KI,84,39,281,56,179,0,0
SEA 46-1953,KI,76,54,236,45,175,0,0
SEA 46-1954,KI,92,50,282,61,203,0,0
SEA 37-1638,KI,88,25,505,49,162,0,0
SEA 36-1308,KI,109,26,298,57,193,0,1
SEA 36-1309,KI,166,54,556,107,328,0,1
SEA 36-1306,KI,147,29,381,64,240,0,0
SEA 36-1307,KI,104,29,276,41,174,0,0
SEA 36-1304,KI,136,35,333,62,234,0,1
SEA 36-1305,KI,126,26,301,54,206,0,0
SEA 37-1631,KI,68,67,301,51,187,0,1
SEA 36-1303,KI,155,34,411,79,269,0,1
SEA 36-1300,KI,107,38,383,69,214,0,0
SEA 36-1301,KI,117,39,319,62,218,0,0
SEA 36-1715,KI,99,23,355,48,172,0,2
SEA 36-1714,KI,164,64,526,92,321,0,1
SEA 36-1717,KI,51,42,251,41,134,0,0
SEA 36-1716,KI,94,21,357,62,177,0,0
SEA 36-1711,KI,190,69,760,119,379,0,1
SEA 36-1710,KI,71,36,351,49,157,0,1
SEA 36-1713,KI,80,41,362,55,176,0,0
SEA 36-1712,KI,130,58,463,81,269,0,0
SEA 36-2147,KI,180,54,489,102,338,0,2
SEA 36-1719,KI,128,72,510,96,299,0,3
SEA 36-1718,KI,77,31,318,47,155,0,0
SEA 37-1834,KI,118,29,386,41,188,0,0
SEA 46-1404,KI,111,35,441,68,217,0,3
SEA 46-2371,KI,181,81,656,109,371,0,0
SEA 34-3263,KI,78,55,415,61,194,0,0
SEA 34-3265,KI,78,46,353,44,168,0,0
SEA 34-3264,KI,85,51,340,43,180,0,1
SEA 34-3266,KI,61,31,311,25,117,0,0
SEA 46-2285,KI,119,42,286,50,211,0,0
SEA 11-1928,KI,80,25,298,40,145,0,0
SEA 43-2850,KI,106,23,359,53,182,0,0
SEA 37-1938,KI,144,34,394,68,247,0,1
SEA 46-2283,KI,104,42,348,67,214,0,1
SEA 36-1398,KI,155,41,503,69,265,0,0
SEA 46-2326,KI,122,67,574,82,271,0,0
SEA 46-2327,KI,82,43,381,65,190,0,0
SEA 46-2324,KI,113,56,432,68,237,0,0
SEA 43-2047,KI,237,56,662,108,403,0,2
SEA 46-2289,KI,98,26,338,78,203,0,1
SEA 46-2323,KI,155,58,554,96,310,0,1
SEA 46-2320,KI,95,51,350,76,222,0,0
SEA 46-2321,KI,116,43,333,65,225,0,1
SEA 37-3694,KI,28,7,92,9,44,0,0
SEA 43-1368,KI,102,23,292,59,184,0,0
SEA 34-1461,KI,123,66,399,77,268,0,2
SEA 36-1273,KI,100,35,279,66,201,0,0
SEA 34-1508,KI,81,38,295,62,182,0,1
SEA 34-1509,KI,75,37,281,65,177,0,0
SEA 34-1465,KI,128,48,372,75,251,0,0
SEA 34-1464,KI,112,50,359,83,245,0,0
SEA 34-1467,KI,172,63,551,104,339,0,0
SEA 34-1466,KI,88,33,303,58,179,0,0
SEA 34-1502,KI,107,53,342,61,223,0,2
SEA 34-1468,KI,102,72,448,82,256,0,0
SEA 34-1500,KI,131,76,584,121,328,0,0
SEA 34-1501,KI,117,59,369,71,248,0,1
SEA 34-1506,KI,88,48,299,47,183,0,0
SEA 34-1507,KI,95,54,357,80,230,0,1
SEA 34-1504,KI,139,52,418,76,267,0,0
SEA 46-2291,KI,120,41,387,42,204,0,1
SEA 43-1821,KI,72,31,233,41,144,0,0
SEA 43-1869,KI,174,32,465,64,270,0,0
SEA 46-2296,KI,116,54,391,67,237,0,0
SEA 46-2277,KI,178,75,568,115,368,0,0
SEA 43-1369,KI,85,21,285,58,165,0,1
SEA 43-2015,KI,79,36,333,80,195,0,0
SEA 37-1950,KI,35,22,187,9,67,0,1
SEA 34-1489,KI,153,86,744,96,338,0,3
SEA 34-1488,KI,124,72,692,88,284,0,0
SEA 34-1482,KI,98,31,321,50,180,0,1
SEA 34-1481,KI,90,64,479,70,227,0,3
SEA 34-1480,KI,167,63,594,109,339,0,0
SEA 34-1487,KI,108,44,335,53,205,0,0
SEA 34-1486,KI,95,43,364,63,201,0,0
SEA 34-1485,KI,141,74,708,90,307,0,2
SEA 34-1484,KI,82,52,345,46,180,0,0
SEA 36-3153,KI,82,43,390,62,187,0,0
SEA 46-2358,KI,239,108,846,146,494,0,1
SEA 37-1918,KI,121,29,347,61,212,0,1
SEA 37-1919,KI,103,41,378,62,207,0,1
SEA 37-2686,KI,162,61,604,67,291,0,1
SEA 36-3252,KI,105,43,477,63,211,0,0
SEA 37-1915,KI,143,40,384,75,260,0,2
SEA 37-1916,KI,137,39,357,84,261,0,1
SEA 37-1917,KI,184,64,454,63,311,0,0
SEA 37-1910,KI,195,39,513,94,329,0,1
SEA 37-1911,KI,80,36,284,73,191,0,2
SEA 46-2355,KI,89,70,354,65,224,0,0
SEA 37-1913,KI,142,35,338,61,239,0,1
SEA 37-1854,KI,95,48,386,47,190,0,0
SEA 43-1330,KI,135,46,404,56,238,0,1
SEA 43-1849,KI,103,11,323,45,161,0,2
SEA 37-1850,KI,207,56,650,80,346,0,3
SEA 37-1853,KI,71,18,281,31,120,0,0
SEA 43-1845,KI,156,45,575,76,277,0,0
SEA 43-1847,KI,134,21,484,72,227,0,0
SEA 43-1846,KI,105,17,345,35,158,0,1
SEA 43-1843,KI,154,33,551,64,251,0,0
SEA 43-1842,KI,131,74,521,77,282,0,0
SEA 43-2104,KI,149,38,379,73,260,0,0
SEA 43-2029,KI,283,78,706,125,488,0,2
SEA 46-2309,KI,102,32,300,50,184,0,0
SEA 46-2142,KI,181,77,674,97,357,0,2
SEA 43-1262,KI,163,50,468,94,308,0,1
SEA 36-2795,KI,98,42,479,68,209,0,1
SEA 43-1265,KI,87,20,256,40,148,0,1
SEA 37-1637,KI,142,91,760,59,295,0,3
SEA 43-1264,KI,132,37,361,78,248,0,1
SEA 37-1651,KI,140,61,736,55,256,0,0
SEA 43-2025,KI,229,47,556,83,360,1,0
SEA 37-1930,KI,259,60,738,72,391,0,0
SEA 43-1266,KI,101,33,351,78,213,0,1
SEA 46-2145,KI,151,65,497,79,297,0,2
SEA 36-1751,KI,100,37,368,74,212,0,1
SEA 36-1750,KI,149,48,493,99,296,0,0
SEA 36-1752,KI,107,52,437,85,244,0,0
SEA 36-1755,KI,71,31,272,55,158,0,1
SEA 36-1754,KI,121,35,387,96,252,0,0
SEA 36-1757,KI,80,21,262,65,166,0,0
