Row Label,County,Timm Ormsby,Paul Delaney
PCT 3315,SP,351,157
PCT 3317,SP,435,189
PCT 3309,SP,299,131
PCT 3319,SP,254,137
PCT 3222,SP,191,49
PCT 3313,SP,387,212
PCT 3324,SP,298,134
PCT 3323,SP,312,135
PCT 3223,SP,246,72
PCT 3110,SP,176,102
PCT 3111,SP,189,86
PCT 3112,SP,13,8
PCT 3113,SP,251,145
PCT 3114,SP,245,153
PCT 3115,SP,250,137
PCT 3116,SP,250,164
PCT 3117,SP,175,93
PCT 3118,SP,185,91
PCT 3119,SP,224,106
PCT 3221,SP,328,192
PCT 3321,SP,349,155
PCT 3219,SP,317,116
PCT 3218,SP,450,125
PCT 3318,SP,274,141
PCT 3310,SP,303,163
PCT 3213,SP,423,105
PCT 3212,SP,307,87
PCT 3211,SP,353,98
PCT 3210,SP,334,84
PCT 3217,SP,391,184
PCT 3216,SP,435,180
PCT 3215,SP,230,82
PCT 3214,SP,357,108
PCT 3000(*),SP,0,0
PCT 3300,SP,256,158
PCT 3320,SP,249,99
PCT 3329,SP,282,80
PCT 3325,SP,411,128
PCT 3128,SP,241,118
PCT 3311,SP,167,119
PCT 3301,SP,430,192
PCT 3209,SP,321,191
PCT 3121,SP,221,138
PCT 3120,SP,236,138
PCT 3123,SP,224,109
PCT 3122,SP,363,115
PCT 3125,SP,240,96
PCT 3124,SP,242,137
PCT 3127,SP,300,69
PCT 3126,SP,43,32
PCT 3103,SP,175,92
PCT 3102,SP,151,74
PCT 3101,SP,211,100
PCT 3328,SP,332,111
PCT 3107,SP,255,123
PCT 3106,SP,215,112
PCT 3105,SP,222,97
PCT 3104,SP,249,133
PCT 3327,SP,240,84
PCT 3109,SP,216,116
PCT 3108,SP,174,104
PCT 3208,SP,271,145
PCT 3100(*),SP,0,0
PCT 3303,SP,292,146
PCT 3302,SP,294,156
PCT 3305,SP,247,113
PCT 3304,SP,287,156
PCT 3307,SP,204,109
PCT 3306,SP,275,176
PCT 3200,SP,280,75
PCT 3201,SP,371,123
PCT 3202,SP,193,76
PCT 3203,SP,317,105
PCT 3204,SP,266,72
PCT 3205,SP,295,87
PCT 3206,SP,284,60
PCT 3207,SP,147,72
PCT 3220,SP,399,155
PCT 3316,SP,407,143
PCT 3312,SP,359,205
PCT 3326,SP,123,58
PCT 3308,SP,308,145
Total,SP,22606,9935
PCT 3314,SP,254,138
PCT 3322,SP,256,116
