Row Label,County,Nathan Davis,Leo Jenkins
SHERMAN,FE,136,76
REPUBLIC 2,FE,123,71
REPUBLIC 1,FE,146,57
LAMBERT,FE,53,24
HALL CREEK,FE,63,37
CURLEW,FE,18,11
STORM KING,FE,161,51
TORODA,FE,70,37
BOYDS,FE,90,36
MALO,FE,108,49
SOUTH LAKE,FE,104,44
KETTLE RIVER,FE,129,78
KEWA,FE,40,62
BELCHER,FE,74,26
KELLER,FE,68,39
TROUT CREEK,FE,193,91
Total,FE,1866,975
ORIENT,FE,76,58
SAN POIL,FE,201,57
INCHELIUM,FE,13,71
