Row Label,County,Mary Yu
MARYSVILLE 17,SN,204
WAGNER,SN,226
LUNDS GULCH,SN,81
STRAUS,SN,289
EVERETT  73,SN,221
LYNNWOOD  6,SN,183
EVERETT  71,SN,113
MENZEL,SN,163
EVERETT  77,SN,156
EVERETT  76,SN,166
RIDGEWAY,SN,130
EVERETT  74,SN,126
EVERETT  79,SN,205
EVERETT  78,SN,107
NILE,SN,0
RHODY RIDGE,SN,146
LARIMER,SN,204
ARNOT,SN,148
CHATHAM,SN,42
KINGMAN,SN,329
MANN,SN,190
FIR,SN,199
MARYSVILLE 44,SN,304
MUKILTEO 18,SN,303
MUKILTEO 19,SN,171
MARYSVILLE 41,SN,158
MARYSVILLE 40,SN,166
MARYSVILLE 43,SN,206
MARYSVILLE 42,SN,184
SILVER FIRS,SN,283
PORT SUSAN,SN,309
MUKILTEO 10,SN,177
MUKILTEO 11,SN,222
MUKILTEO 16,SN,301
MUKILTEO 17,SN,301
MUKILTEO 14,SN,280
MUKILTEO 15,SN,84
MILL CREEK 18,SN,181
MILL CREEK 19,SN,295
MILL CREEK 14,SN,5
MILL CREEK 15,SN,224
MILL CREEK 16,SN,161
MILL CREEK 17,SN,235
NORDEN,SN,179
MILL CREEK 11,SN,161
MILL CREEK 12,SN,185
STAFFORD,SN,142
MC RAE,SN,157
SOFIE,SN,133
MARYSVILLE 30,SN,247
MARYSVILLE 31,SN,318
MARYSVILLE 32,SN,146
MARYSVILLE 33,SN,4
MARYSVILLE 34,SN,193
MARYSVILLE 35,SN,209
MAY CREEK,SN,227
MARYSVILLE 37,SN,138
MARYSVILLE 38,SN,150
MARYSVILLE 39,SN,189
ROBE,SN,129
THREE LAKES,SN,163
LOOP,SN,207
VIEW,SN,234
LOST LAKE,SN,140
LAKE STEVENS  4,SN,173
LAKE STEVENS  5,SN,191
WAXON,SN,298
LAKE STEVENS  7,SN,255
LAKE STEVENS  1,SN,285
LAKE STEVENS  2,SN,214
LAKE STEVENS  3,SN,280
PRIEST POINT,SN,129
LAKE STEVENS  8,SN,223
LAKE STEVENS  9,SN,163
BOTHELL 45,SN,115
MONROE  1,SN,244
MONROE  3,SN,233
EVERETT  90,SN,66
STANWOOD 2,SN,207
SOUTH SNOHOMISH,SN,161
STANWOOD 5,SN,257
STANWOOD 4,SN,283
LYNNWOOD 23,SN,212
CAVALRY,SN,208
LYNNWOOD 21,SN,206
SULTAN RIVER,SN,197
STANWOOD 7,SN,120
