Row Label,County,Eddie Yoon,Charles W. Johnson
Friday Harbor North,SJ,133,226
San Juan South East,SJ,71,196
Lopez North,SJ,180,442
Total,SJ,1819,4268
Decatur and Outer Is,SJ,8,21
Shaw,SJ,26,55
San Juan West,SJ,116,275
Turn Point,SJ,58,135
San Juan South West,SJ,128,288
Orcas East,SJ,127,303
Eastsound,SJ,169,351
Blakely &amp; Outer Is,SJ,3,19
Friday Harbor South,SJ,72,194
Waldron &amp; Outer Is,SJ,19,31
Orcas Central,SJ,147,326
San Juan North,SJ,99,237
Lopez South,SJ,104,368
Orcas West,SJ,151,327
San Juan East,SJ,82,219
San Juan Central,SJ,126,255
