Row Label,County,Marcine Anderson,Registered Voters,Times Blank Voted,Times Counted,Times Over Voted,Write-in
LFP 46-3380,KI,196,579,170,368,0,2
SHL 32-1236,KI,85,268,63,148,0,0
SHL 32-0038,KI,162,498,79,247,0,6
LFP 46-0397,KI,111,397,92,204,0,1
KMR 46-0820,KI,118,365,93,212,0,1
KMR 46-2771,KI,219,699,186,412,0,7
SHL 32-0665,KI,127,414,89,218,0,2
SHL 32-0335,KI,113,414,79,195,0,3
SHL 32-1209,KI,138,478,121,262,0,3
SHL 32-0232,KI,103,386,127,231,0,1
SHL 32-3556,KI,134,436,102,239,0,3
SHL 32-2753,KI,113,465,69,184,0,2
SHL 32-0861,KI,217,696,110,331,0,4
SHL 32-0866,KI,125,432,87,215,0,3
LFP 46-0003,KI,148,477,123,273,0,2
KMR 46-0501,KI,161,546,141,304,0,2
SHL 32-0024,KI,154,449,110,269,0,5
SHL 32-1197,KI,110,352,80,191,0,1
SHL 32-0711,KI,108,337,100,208,0,0
SHL 32-1210,KI,167,535,114,284,0,3
SHL 32-0558,KI,69,310,69,138,0,0
SHL 32-0559,KI,87,308,69,157,0,1
LFP 46-1056,KI,169,536,161,332,0,2
SHL 32-0898,KI,91,295,86,177,0,0
SHL 32-0897,KI,126,446,103,233,0,4
SHL 32-0895,KI,119,484,99,218,0,0
SHL 32-0423,KI,118,389,105,224,0,1
SHL 32-0424,KI,112,318,79,192,0,1
SHL 32-1053,KI,122,364,103,227,0,2
SHL 32-0346,KI,73,256,54,131,0,4
SHL 32-1038,KI,87,254,48,136,0,1
KMR 46-1181,KI,94,295,73,169,0,2
KMR 46-0696,KI,224,728,227,455,0,4
KMR 46-0695,KI,154,532,144,299,0,1
LFP 46-2439,KI,102,311,97,200,0,1
SHL 32-0296,KI,114,377,85,201,0,2
SHL 32-0888,KI,73,264,69,142,0,0
SHL 32-0527,KI,168,626,103,274,0,3
LFP 46-1186,KI,127,436,123,250,0,0
LFP 46-0517,KI,115,445,154,273,0,4
SHL 32-0454,KI,87,300,85,173,0,1
SHL 32-0357,KI,167,501,96,264,0,1
KMR 46-0689,KI,206,550,137,347,0,4
SHL 32-0802,KI,124,452,68,194,0,2
SHL 32-0921,KI,99,260,76,176,0,1
SHL 32-0920,KI,91,314,96,188,0,1
KMR 46-0686,KI,154,478,127,283,0,2
SHL 32-1168,KI,144,466,101,246,0,1
SHL 32-0538,KI,115,425,103,219,0,1
LFP 46-1237,KI,157,419,115,275,0,3
KMR 46-0036,KI,214,649,168,383,0,1
SHL 32-0537,KI,110,337,102,212,0,0
SHL 32-0530,KI,91,282,87,179,0,1
SHL 32-0735,KI,76,269,65,141,0,0
SHL 32-0444,KI,141,438,118,260,0,1
