Row Label,County,Dawn M. Bettinger,Janet Garrow
BOTHELL 40,SN,118,162
BOTHELL 41,SN,115,172
BOTHELL 42,SN,115,202
BOTHELL 43,SN,81,105
BOTHELL 44,SN,76,125
BOTHELL 45,SN,48,83
BOTHELL 46,SN,118,131
BOTHELL 47,SN,101,170
BOTHELL 31,SN,92,184
BOTHELL 33,SN,105,133
BOTHELL 32,SN,70,114
BOTHELL 35,SN,95,123
BOTHELL 34,SN,98,187
BOTHELL 37,SN,135,179
BOTHELL 36,SN,91,136
BOTHELL 39,SN,62,133
BOTHELL 38,SN,97,147
Total,SN,1617,2486
