Row Label,County,Lisa O'Toole,Marcus Naylor,Registered Voters,Times Blank Voted,Times Counted,Times Over Voted,Write-in
ISS 41-3554,KI,122,81,416,78,281,0,0
RIVERBEND,KI,144,86,762,112,345,0,3
N-B 05-2683,KI,140,91,706,113,351,0,7
PROVAN,KI,126,93,551,121,340,0,0
TWIN PEAKS,KI,173,99,700,128,401,0,1
BEL 48-1023,KI,86,64,322,55,206,0,1
KIR 48-2731,KI,96,52,483,85,233,0,0
SAM 45-3293,KI,147,93,661,139,382,0,3
SAM 41-0816,KI,159,94,687,129,385,0,3
SAM 45-3298,KI,121,87,523,88,297,0,1
BEL 41-0211,KI,120,51,373,56,229,0,2
BEL 41-0210,KI,108,23,367,55,186,0,0
KIR 01-2678,KI,169,95,695,110,375,0,1
BEL 41-0219,KI,138,56,623,66,264,0,4
SAM 41-2973,KI,180,106,723,148,434,0,0
KIR 01-2923,KI,138,77,642,93,311,0,3
MED 48-0750,KI,170,93,661,126,389,0,0
MED 48-0751,KI,166,63,510,102,331,0,0
BEL 48-2559,KI,113,63,431,82,259,0,1
RED 48-3208,KI,66,40,415,50,156,0,0
SAM 45-2575,KI,253,105,770,136,496,0,2
WINTERGREEN,KI,71,43,279,46,161,0,1
WOD 45-2680,KI,175,99,627,109,384,0,1
ISS 05-0550,KI,76,32,300,60,172,0,4
KIR 45-2730,KI,133,74,686,90,298,0,1
GRAFF,KI,24,15,105,25,64,0,0
RED 48-3664,KI,104,52,594,85,243,0,2
BEL 41-2782,KI,41,20,183,20,81,0,0
KIR 48-2788,KI,90,52,354,72,215,0,1
KIR 48-2922,KI,88,60,504,94,242,0,0
KIR 45-0554,KI,98,49,451,52,200,0,1
NEW 41-3578,KI,67,41,396,47,156,0,1
KIR 45-2679,KI,156,106,614,117,379,0,0
ISS 05-2461,KI,173,84,572,106,364,0,1
N-B 05-0858,KI,80,50,469,90,222,0,2
RED 48-2640,KI,102,40,356,66,208,0,0
SEAN,KI,151,83,690,133,367,0,0
HOLLYMORE,KI,147,89,525,101,337,0,0
KIR 45-2471,KI,215,117,720,118,453,0,3
ISABELLA,KI,216,81,660,111,409,0,1
KIR 01-3422,KI,109,75,546,82,266,0,0
MOUNT CLARE,KI,155,94,571,97,348,0,2
ALDARRA,KI,208,66,711,160,434,0,0
EDGEHILL,KI,21,9,67,14,44,0,0
BIG BEND,KI,61,19,216,44,124,0,0
BEL 48-2412,KI,84,36,308,48,168,0,0
RED 48-2628,KI,94,35,472,81,211,0,1
KIR 45-2786,KI,105,58,351,72,236,0,1
TIGER MTN,KI,190,110,742,144,447,3,0
SHANGRI-LA,KI,94,75,394,61,233,0,3
RED 45-3315,KI,232,131,705,138,503,1,1
BEL 48-2778,KI,69,46,243,33,148,0,0
BEL 48-2773,KI,55,46,287,40,142,0,1
BEL 48-2772,KI,92,50,345,63,205,0,0
BEL 48-2777,KI,44,25,229,20,89,0,0
BEL 48-2776,KI,140,66,495,67,274,1,0
BEL 48-2775,KI,123,58,478,81,264,0,2
BEL 48-2774,KI,107,25,434,53,186,0,1
BEL 41-3671,KI,80,36,337,48,164,0,0
COUNTRYSIDE,KI,117,72,667,91,280,0,0
SAM 41-3384,KI,171,96,764,123,391,0,1
SAM 41-3385,KI,135,101,616,92,328,0,0
M-I 41-0756,KI,184,93,738,124,402,0,1
SNQ 05-3511,KI,178,104,860,193,477,0,2
M-I 41-0757,KI,92,55,403,83,231,0,1
KIR 45-3198,KI,70,52,492,58,182,0,2
KIR 45-3199,KI,114,56,416,71,241,0,0
BEL 41-3695,KI,80,45,390,57,183,0,1
ISS 05-3634,KI,67,41,422,82,190,0,0
BOT 01-1207,KI,119,68,553,94,282,0,1
HOLLYWOOD,KI,156,65,538,138,359,0,0
BEL 41-3593,KI,74,55,534,53,182,0,0
CAR 05-0290,KI,104,75,512,97,276,0,0
M-I 41-0759,KI,87,58,379,66,211,0,0
BEL 48-0188,KI,95,57,472,91,244,0,1
BEL 48-0189,KI,93,52,523,87,232,0,0
BEL 48-0186,KI,62,39,277,64,165,0,0
BROOKSIDE,KI,148,87,548,110,345,0,0
RING HILL,KI,224,111,757,152,488,0,1
ISS 41-2733,KI,189,130,843,140,462,0,3
KIR 45-3109,KI,98,59,469,73,230,0,0
BEL 41-3608,KI,162,83,714,104,349,0,0
KIR 45-3450,KI,44,25,251,54,125,1,1
SAM 41-2690,KI,116,67,526,88,271,0,0
RIDGE,KI,195,89,669,105,393,0,4
KINGLET,KI,83,61,532,83,227,0,0
SAM 45-3454,KI,49,37,233,30,116,0,0
KIR 01-3678,KI,66,62,349,65,193,0,0
WOD 45-3270,KI,120,94,612,84,298,0,0
ISS 05-3527,KI,125,50,587,73,249,0,1
BOT 01-3661,KI,107,76,528,60,245,0,2
BEL 41-1235,KI,76,40,334,64,180,0,0
N-B 05-0859,KI,117,66,487,108,291,0,0
BEL 41-0733,KI,140,70,718,105,315,0,0
