Row Label,County,Terry R. Nealey,Frank Blair
Pct 020,FR,55,21
Pct 021,FR,31,14
Pct 008,FR,169,46
Pct 009,FR,37,36
Pct 024,FR,128,25
Pct 025,FR,56,11
Pct 026,FR,88,30
Pct 027,FR,51,30
Pct 002,FR,60,49
Pct 003,FR,21,38
Pct 001,FR,100,105
Pct 006,FR,50,66
Pct 007,FR,55,49
Pct 004,FR,37,46
Pct 005,FR,36,34
Pct 061,FR,190,57
Pct 036,FR,219,77
Pct 031,FR,64,16
Pct 030,FR,45,16
Pct 019,FR,130,48
Pct 018,FR,54,11
Pct 015,FR,66,52
Pct 014,FR,62,30
Pct 017,FR,79,47
Pct 016,FR,7,13
Pct 011,FR,74,36
Pct 010,FR,75,51
Pct 013,FR,39,35
Pct 012,FR,48,41
Pct 028,FR,48,37
Pct 029,FR,66,33
Total,FR,2240,1200
