Row Label,County,Lee Whetham,Don Corson,Connie Beauvais,Joe McGimpsey,Barbara Christensen,Derek G. Medina,William G. White,Rod Fleck,Cheryl Williams,Howard (Mike) Doherty Jr.,John Merton Marrs
SUN 269,CM,31,34,51,57,69,24,56,97,46,63,16
PORT ANGELES 109,CM,240,196,243,163,262,145,162,188,231,374,164
PORT ANGELES 108,CM,124,83,101,65,125,58,74,67,108,160,82
DRY CREEK 224,CM,140,116,153,110,165,73,107,92,139,226,85
CLALLAM BAY 215,CM,65,59,78,87,84,44,76,102,71,145,64
PORT ANGELES 110,CM,41,45,55,21,55,29,40,37,46,72,29
PORT ANGELES 111,CM,222,216,203,134,254,129,138,173,227,347,153
PORT ANGELES 112,CM,122,109,122,63,124,64,80,89,125,184,84
PORT ANGELES 113,CM,126,133,136,83,134,81,110,89,126,178,89
QUILEUTE 262,CM,29,43,46,61,55,24,46,82,45,81,26
FRESHWATER BAY 233,CM,175,172,241,139,197,108,156,158,209,269,139
BLACK DIAMOND 208,CM,91,111,105,62,103,53,86,102,89,162,82
BEAVER 204,CM,82,66,110,129,102,46,131,180,94,137,52
BOGACHIEL 212,CM,44,55,45,55,62,21,53,107,47,60,28
ELWHA 230,CM,44,49,42,25,46,15,39,41,46,67,41
FORKS 301,CM,48,58,84,100,108,53,70,167,92,106,44
JOYCE 241,CM,191,152,282,147,200,103,174,169,181,269,137
FORKS 302,CM,91,105,115,98,130,50,115,226,101,157,65
Total,CM,2016,1903,2363,1787,2417,1189,1795,2280,2152,3301,1455
MADISON CREEK 248,CM,67,76,67,42,62,34,49,59,52,106,45
NEAH BAY 252,CM,43,25,84,146,80,35,33,55,77,138,30
