Row Label,County,Mary E. Fairhurst
MILL CREEK,ST,106
KETTLE FALLS 1,ST,208
COLUMBIA,ST,279
ARDEN 1,ST,175
COLVILLE 1,ST,98
COLVILLE 2,ST,123
DAISY,ST,117
COLVILLE 4,ST,264
COLVILLE 5,ST,206
COLVILLE 6,ST,146
COLVILLE 7,ST,139
COLVILLE VALLEY,ST,352
STONE LODGE,ST,249
ECHO VALLEY,ST,143
LOON LAKE 2,ST,179
NARCISSE,ST,253
LOON LAKE 1,ST,329
COLVILLE 3,ST,138
CAMAS PRAIRIE,ST,132
EVANS,ST,135
SPRINGDALE,ST,48
MEYERS FALLS 2,ST,295
NORTHPORT,ST,70
SUMMIT,ST,165
KELLY HILL,ST,56
CLAYTON 2,ST,268
CLAYTON 1,ST,164
ARDEN 2,ST,202
MEYERS FALLS 1,ST,196
WAITTS LAKE,ST,248
WELLPINIT,ST,118
CHEWELAH 3,ST,145
HUNTERS,ST,234
ONION CREEK,ST,82
CHEWELAH 2,ST,95
CHEWELAH 1,ST,200
ECHO,ST,242
QUARTZITE 1,ST,358
QUARTZITE 2,ST,190
TUM TUM 5,ST,249
TUM TUM 4,ST,203
ROCK CUT,ST,45
TUM TUM 1,ST,154
TUM TUM 3,ST,342
TUM TUM 2,ST,298
MARCUS,ST,40
Total,ST,10311
FIRST THOUGHT,ST,30
WALKERS PRAIRIE,ST,190
CAMAS,ST,199
ADDY,ST,249
WILLIAMS VALLEY,ST,303
ORIN 1,ST,156
ORIN 2,ST,180
KETTLE FALLS 2,ST,142
CHEWELAH FORE,ST,105
RICE,ST,102
VALLEY 1,ST,32
VALLEY 2,ST,145
