Row Label,County,Mary E. Fairhurst
ENDICOTT 147,WT,71
LACROSSE IN,WT,85
GARFIELD IN,WT,150
PULLMAN CITY 114,WT,24
PULLMAN 235,WT,288
FARMINGTON 103,WT,21
LAMONT IN,WT,19
PULLMAN 234,WT,62
COLFAX CITY 139,WT,172
PULLMAN CITY 127,WT,26
MALDEN IN,WT,36
PULLMAN CITY 125,WT,15
PULLMAN CITY 124,WT,22
PULLMAN CITY 123,WT,182
PULLMAN CITY 122,WT,100
PULLMAN CITY 121,WT,119
PULLMAN CITY 120,WT,441
UNIONTOWN 109,WT,49
TEKOA 101,WT,42
PULLMAN CITY 129,WT,58
PULLMAN CITY 128,WT,51
COLFAX RURAL 137,WT,176
DUSTY 143,WT,31
ALBION 112,WT,80
COLFAX CITY 142,WT,231
PULLMAN CITY 126,WT,21
COLTON 108,WT,85
COLFAX CITY 141,WT,128
WILCOX 138,WT,86
HAY 144,WT,16
PULLMAN 228,WT,19
ALBION IN,WT,122
COLFAX RURAL 136,WT,94
COLTON IN,WT,145
ROSALIA IN,WT,158
TEKOA IN,WT,157
MALDEN 150,WT,6
HOOPER 145,WT,12
OAKESDALE IN,WT,144
ST JOHN IN,WT,148
LAMONT 148,WT,27
ROSALIA 151,WT,55
ST JOHN 149,WT,144
PULLMAN CITY 135,WT,174
ENDICOTT IN,WT,93
COLFAX CITY 140,WT,155
PULLMAN 218,WT,256
PULLMAN CITY 134,WT,21
OAKESDALE 102,WT,63
PULLMAN CITY 118,WT,228
PULLMAN CITY 119,WT,177
PULLMAN CITY 130,WT,60
PULLMAN CITY 131,WT,4
PULLMAN CITY 132,WT,0
PULLMAN CITY 133,WT,0
PULLMAN RURAL 110,WT,280
PULLMAN RURAL 111,WT,88
THORNTON 152,WT,46
LACROSSE 146,WT,48
PULLMAN CITY 116,WT,310
PULLMAN CITY 117,WT,123
PALOUSE 107,WT,230
PULLMAN CITY 115,WT,8
PALOUSE RURAL 106,WT,131
UNIONTOWN IN,WT,74
STEPTOE 104,WT,72
FARMINGTON IN,WT,55
PULLMAN CITY 113,WT,104
GARFIELD 105,WT,54
Total,WT,6972
