Row Label,County,Repealed,Maintained
601 Queets,JE,19,20
704 Port Townsend,JE,68,147
101 Gardiner,JE,79,86
501 Port Ludlow I,JE,250,340
200 Coyle,JE,122,112
708 Port Townsend,JE,229,358
302 Center I,JE,126,147
702 Port Townsend,JE,100,148
306 Irondale II,JE,241,197
300 Chimacum I,JE,136,185
102 Port Discovery,JE,96,114
105 Discovery Bay,JE,183,265
305 Irondale I,JE,178,152
710 Port Townsend,JE,125,217
500 Port Ludlow,JE,248,313
106 North Jacob,JE,164,176
503 Port Ludlow III,JE,155,235
301 Chimacum II,JE,92,99
706 Port Townsend,JE,249,399
401 Nordland,JE,216,275
502 Port Ludlow II,JE,170,213
505 Port Ludlow V,JE,196,230
709 Port Townsend,JE,178,327
303 Hadlock,JE,242,212
304 Kala Point,JE,206,337
107 South Jacob,JE,237,228
201 Quilcene,JE,277,214
308 Center II,JE,75,89
705 Port Townsend,JE,121,158
204 Brinnon,JE,326,282
707 Port Townsend,JE,222,369
104 Cape George,JE,196,279
103 Crocker,JE,80,83
600 Hoh,JE,26,17
703 Port Townsend,JE,91,218
700 Port Townsend,JE,168,270
504 Port Ludlow IV,JE,122,137
Total,JE,6233,7932
701 Port Townsend,JE,90,125
307 Four Corners,JE,134,159
