Row Label,County,Brett Buckley
Yelm 1,TH,193
Griffin,TH,195
Kaiser,TH,99
Smith Prairie,TH,256
Olympia 01,TH,189
Lacey 29,TH,251
Scott Lake South,TH,175
Tri Lakes,TH,122
Woodland,TH,199
Plumb,TH,240
Montgomery,TH,118
Olympia 10,TH,223
Summerset,TH,333
Olympia 12,TH,120
Olympia 13,TH,198
Pleasant Hill,TH,230
Olympia 15,TH,142
Smith Lake,TH,217
Olympia 17,TH,152
Olympia 18,TH,180
Rocky Prairie,TH,141
Tumwater 05,TH,149
Scatter Creek,TH,163
Lacey 06,TH,82
Henderson,TH,300
Mullen,TH,258
Marvin,TH,266
Rochester 4,TH,161
Rochester 5,TH,225
Rochester 2,TH,203
Rochester 3,TH,222
French,TH,224
Rochester 1,TH,267
Tumwater 11,TH,288
Evergreen Ballroom,TH,277
Littlerock,TH,338
Lacey 10,TH,257
Skookumchuck,TH,215
Delphi,TH,204
Tolmie,TH,95
St Clair,TH,203
Olympia 58,TH,212
Tenino 01,TH,130
James,TH,181
Tumwater 10,TH,279
Lacey 14,TH,74
Olympia 07,TH,116
Olympia 06,TH,320
Olympia 05,TH,182
Olympia 04,TH,198
Olympia 03,TH,204
Olympia 02,TH,202
Plainview,TH,318
Lacey 27,TH,186
Delridge,TH,62
Military,TH,83
Lacey 16,TH,194
Lacey 39,TH,336
Olympia 09,TH,362
Sweet Briar,TH,285
Rainier 01,TH,150
Puget,TH,268
Olympia 11,TH,175
Vail,TH,255
Stedman,TH,131
Tumwater 13,TH,87
Zenkner Valley,TH,52
Trailblazer,TH,86
Libby,TH,174
Lackamas,TH,81
Broadway,TH,274
Johnson Point,TH,263
Sleater Kinney,TH,196
Medicine Creek,TH,106
Lacey 42,TH,69
Olympia 16,TH,43
Tumwater 12,TH,207
Prine,TH,44
Long Lake,TH,58
Lacey 33,TH,108
Olympia 53,TH,193
Lacey 31,TH,162
Lacey 30,TH,289
Greenridge,TH,144
Lacey 36,TH,130
Rich,TH,158
Olympia 19,TH,179
Butler Cove,TH,219
Lacey 34,TH,131
Mud Bay,TH,203
Olympia 14,TH,192
Mclane,TH,156
Tumwater 15,TH,240
Lawrence Lake,TH,259
Lacey 45,TH,108
Olympia 38,TH,59
Tilley,TH,262
Yelm 3,TH,251
Hunter Point,TH,137
Skokomish,TH,177
Schneiders Prairie,TH,167
Grand Mound,TH,107
Alpine,TH,354
Hays,TH,164
Luhr Beach,TH,246
Berry Valley,TH,176
Freedom,TH,282
Morris,TH,233
Lacey 07,TH,167
Lacey 04,TH,107
Lacey 05,TH,127
Lacey 02,TH,147
Lacey 03,TH,172
Deschutes,TH,231
Olympia 50,TH,163
Tumwater 28,TH,289
Tumwater 29,TH,0
Friendly Grove,TH,114
Olympia 51,TH,48
Fair Oaks,TH,142
Woodard Creek,TH,183
Pines,TH,175
Scott Lake North,TH,96
Mushroom Corner,TH,228
Tumwater 14,TH,98
Yelm 2,TH,212
Deerbrush,TH,254
Henness,TH,320
Lacey 09,TH,110
Kinwood,TH,187
Rainier 02,TH,124
Summit Lake,TH,179
Lacey 19,TH,134
Lacey 18,TH,229
Simmons 9,TH,5
Lacey 11,TH,203
Simmons 4,TH,10
Lacey 13,TH,109
Lacey 01,TH,85
Lacey 15,TH,191
Gull Harbor,TH,141
Simmons 3,TH,9
Simmons 2,TH,4
Spurgeon Creek,TH,96
Black River,TH,306
Forest,TH,310
Olympia 24,TH,193
Quince,TH,4
Meadows,TH,173
Pattison,TH,225
Olympia 54,TH,124
Olympia 55,TH,113
Olympia 56,TH,196
Olympia 57,TH,93
Tykle Cove,TH,209
Mcallister Creek,TH,195
