Row Label,County,Kathleen Kler,Daniel S Toepper
601 Queets,JE,18,19
704 Port Townsend,JE,186,43
101 Gardiner,JE,117,47
501 Port Ludlow I,JE,292,295
200 Coyle,JE,112,109
708 Port Townsend,JE,453,166
302 Center I,JE,113,158
702 Port Townsend,JE,212,59
306 Irondale II,JE,169,293
300 Chimacum I,JE,155,183
102 Port Discovery,JE,102,97
105 Discovery Bay,JE,316,151
305 Irondale I,JE,142,197
710 Port Townsend,JE,260,97
500 Port Ludlow,JE,255,291
106 North Jacob,JE,217,137
503 Port Ludlow III,JE,179,186
301 Chimacum II,JE,78,121
706 Port Townsend,JE,479,215
401 Nordland,JE,287,203
502 Port Ludlow II,JE,174,212
505 Port Ludlow V,JE,213,189
709 Port Townsend,JE,421,128
303 Hadlock,JE,186,271
304 Kala Point,JE,335,219
107 South Jacob,JE,238,229
201 Quilcene,JE,229,279
308 Center II,JE,86,89
705 Port Townsend,JE,175,112
204 Brinnon,JE,245,340
707 Port Townsend,JE,422,196
104 Cape George,JE,320,153
103 Crocker,JE,66,98
600 Hoh,JE,16,20
703 Port Townsend,JE,238,74
700 Port Townsend,JE,287,163
504 Port Ludlow IV,JE,128,118
Total,JE,8245,6154
701 Port Townsend,JE,176,46
307 Four Corners,JE,148,151
