Row Label,County,Jim Moeller,Lisa Ross
150,CR,228,137
153,CR,200,197
338,CR,246,317
565,CR,211,270
147,CR,251,238
335,CR,228,226
337,CR,277,253
453,CR,278,272
663,CR,211,184
190,CR,387,277
660,CR,318,254
130,CR,442,192
110,CR,478,194
113,CR,165,134
112,CR,33,24
175,CR,223,173
100,CR,488,181
170,CR,332,155
106,CR,351,185
395,CR,123,68
257,CR,322,259
180,CR,263,190
642,CR,106,160
340,CR,315,262
327,CR,273,356
650,CR,317,234
325,CR,220,221
420,CR,301,279
250,CR,405,276
255,CR,312,254
425,CR,205,239
424,CR,331,321
360,CR,316,293
426,CR,387,368
200,CR,410,197
675,CR,204,208
639,CR,253,245
400,CR,201,136
670,CR,344,285
460,CR,414,395
566,CR,172,224
330,CR,283,301
120,CR,465,234
651,CR,197,211
108,CR,403,192
240,CR,367,377
102,CR,277,204
225,CR,472,330
673,CR,344,310
160,CR,276,166
423,CR,223,211
104,CR,389,241
220,CR,256,175
245,CR,340,305
435,CR,200,231
415,CR,234,206
470,CR,443,333
390,CR,360,308
410,CR,398,310
430,CR,206,205
298,CR,180,185
350,CR,240,246
296,CR,216,192
370,CR,234,196
294,CR,177,200
Total,CR,19239,15694
432,CR,226,215
290,CR,292,277
