Row Label,County,Dolly Hunt,Robin McCroskey
Usk,PE,112,60
Diamond Lk East,PE,74,29
Sacheen,PE,149,80
Diamond Lk,PE,237,109
Diamond Lk West,PE,123,47
Noble,PE,215,99
Furport,PE,185,59
Deer Valley South,PE,51,21
Cusick,PE,92,36
Ione East,PE,103,48
Kalispel Leclerc,PE,89,49
Tiger Dry Canyon,PE,193,91
Ruby,PE,20,6
Ione West,PE,123,64
Newport NE,PE,172,68
Metaline,PE,68,23
Newport SE,PE,67,42
Skookum,PE,42,20
Newport NW,PE,164,65
Newport SW,PE,131,50
Dalkena,PE,219,60
Deer Valley North,PE,170,49
Locke,PE,31,7
Fertile Valley South,PE,85,59
Fertile Valley North,PE,90,61
Camden,PE,106,52
Total,PE,3228,1397
Metaline Falls,PE,117,43
