Row Label,County,Elizabeth E. (Betsy) Verhey
27-448,PI,10
27-449,PI,341
27-444,PI,297
27-445,PI,277
27-446,PI,297
27-447,PI,314
27-440,PI,342
27-441,PI,289
27-442,PI,237
27-443,PI,253
27-428,PI,327
27-429,PI,346
27-426,PI,345
27-427,PI,331
27-424,PI,365
27-425,PI,322
27-422,PI,474
27-423,PI,402
27-420,PI,426
27-421,PI,321
28-506,PI,437
28-507,PI,347
28-504,PI,409
28-505,PI,413
28-502,PI,428
28-503,PI,438
28-501,PI,410
28-508,PI,189
28-509,PI,0
27-459,PI,205
27-458,PI,208
27-453,PI,237
27-452,PI,308
27-451,PI,264
27-450,PI,373
27-457,PI,303
27-456,PI,244
27-455,PI,285
27-454,PI,338
27-439,PI,309
27-438,PI,305
27-435,PI,356
27-434,PI,340
27-437,PI,311
27-436,PI,344
27-431,PI,147
27-430,PI,346
27-433,PI,341
27-432,PI,340
29-626,PI,7
29-627,PI,0
29-624,PI,0
29-625,PI,4
29-622,PI,239
29-623,PI,65
29-620,PI,176
29-621,PI,0
27-408,PI,403
27-409,PI,392
27-404,PI,128
27-405,PI,389
27-406,PI,484
27-407,PI,369
29-601,PI,254
29-602,PI,220
29-603,PI,295
29-604,PI,287
29-605,PI,234
29-606,PI,315
29-607,PI,363
29-608,PI,242
29-609,PI,207
29-619,PI,281
29-618,PI,256
29-617,PI,288
29-616,PI,284
29-615,PI,344
29-614,PI,319
29-613,PI,319
29-612,PI,153
29-611,PI,60
29-610,PI,292
27-417,PI,398
27-416,PI,396
27-415,PI,422
27-414,PI,397
27-413,PI,378
27-412,PI,366
27-411,PI,442
27-410,PI,392
27-419,PI,366
27-418,PI,355
27-462,PI,371
27-463,PI,287
27-460,PI,323
27-461,PI,375
27-466,PI,317
27-467,PI,296
27-464,PI,310
27-465,PI,269
27-468,PI,295
Total,PI,29715
