Row Label,County,Dawn M. Bettinger,Janet Garrow,Registered Voters,Times Blank Voted,Times Counted,Times Over Voted,Write-in
KIR 45-2722,KI,72,135,626,88,296,0,1
RED 48-0945,KI,71,106,453,67,245,0,1
YPT 48-1233,KI,42,121,401,63,226,0,0
BEL 48-0207,KI,36,99,327,50,186,0,1
ALDER SPRINGS,KI,86,131,550,132,349,0,0
BEL 48-0201,KI,41,171,512,81,293,0,0
M-I 41-2809,KI,24,89,240,39,152,0,0
SAM 41-0100,KI,96,163,667,103,362,0,0
SAM 41-3638,KI,82,152,717,109,346,0,3
KIR 01-2767,KI,69,167,573,122,359,0,1
KIR 01-2762,KI,79,155,618,72,308,0,2
KIR 01-2768,KI,84,188,624,110,383,0,1
SAM 45-2564,KI,93,197,749,126,418,0,2
CHALLENGER,KI,35,76,293,74,185,0,0
BEL 48-0149,KI,44,133,416,56,234,0,1
RED 48-0951,KI,45,105,379,73,223,0,0
RED 48-0950,KI,55,95,444,64,214,0,0
RED 48-0953,KI,102,201,758,115,418,0,0
RED 48-0952,KI,41,76,311,43,160,0,0
BEL 48-0142,KI,42,79,299,37,159,0,1
BEL 48-0143,KI,34,78,291,39,152,0,1
BEL 48-0140,KI,53,132,425,48,234,0,1
BEL 48-0146,KI,45,77,298,51,173,0,0
BEL 48-0147,KI,49,96,444,61,207,0,1
BEL 48-0144,KI,43,71,320,54,169,0,1
BEL 48-0145,KI,16,90,274,31,137,0,0
BEL 41-0116,KI,28,52,290,30,111,1,0
BEL 41-0117,KI,25,75,263,40,140,0,0
BEL 41-0114,KI,57,136,459,99,292,0,0
BEL 41-0112,KI,86,167,712,105,358,0,0
BEL 41-0113,KI,36,64,255,58,158,0,0
BEL 41-0110,KI,52,135,571,70,257,0,0
BEL 41-0111,KI,64,185,544,80,330,0,1
BEL 41-3312,KI,71,268,796,150,489,0,0
BEL 41-0119,KI,27,110,295,60,197,0,0
WELCOME LAKE,KI,154,288,735,134,578,0,2
ISS 05-2806,KI,38,120,399,85,243,0,0
KIR 48-0638,KI,56,97,551,128,281,0,0
KIR 48-0636,KI,53,116,449,79,248,0,0
BEL 41-2484,KI,43,94,404,62,199,0,0
KIR 48-0633,KI,61,132,468,92,285,0,0
SAM 45-3412,KI,92,181,738,133,406,0,0
ISS 41-2401,KI,75,139,657,127,342,0,1
JAY,KI,72,100,492,107,280,0,1
BOT 01-0262,KI,84,187,779,95,367,0,1
ISS 41-2409,KI,185,450,1074,194,829,0,0
BOT 01-0260,KI,122,238,769,120,482,0,2
BOT 01-0261,KI,88,189,634,100,378,0,1
KIR 45-2917,KI,65,112,603,74,254,0,3
ELSIE,KI,88,193,726,111,393,0,1
BARCLAY,KI,46,71,295,45,162,0,0
C-H 48-0323,KI,49,140,440,69,258,0,0
C-H 48-0322,KI,25,81,252,53,159,0,0
C-H 48-0321,KI,29,114,356,73,216,0,0
KIR 01-0422,KI,102,115,612,91,309,0,1
C-H 48-0326,KI,31,77,268,53,161,0,0
C-H 48-0325,KI,36,143,446,96,276,0,1
C-H 48-0324,KI,38,128,434,98,265,0,1
BEL 41-0203,KI,94,189,688,126,410,0,1
BEL 41-0206,KI,75,166,729,102,344,0,1
BEL 41-0205,KI,30,94,288,46,171,0,1
DIPPER,KI,93,147,675,102,346,0,4
BOT 01-3271,KI,46,115,431,67,229,0,1
DUV 45-0389,KI,116,168,817,130,414,0,0
NEW 41-3261,KI,73,128,503,62,267,0,4
BEL 41-2386,KI,30,100,279,39,169,0,0
SKY 39-1091,KI,21,27,130,26,74,0,0
TWO RIVERS,KI,126,177,779,160,465,0,2
WOD 45-2769,KI,101,182,748,160,444,0,1
SALAL,KI,42,100,359,82,225,0,1
MEANDER,KI,80,147,581,113,340,0,0
BEL 48-1049,KI,40,100,344,75,215,0,0
BOT 01-2677,KI,49,96,344,59,204,0,0
BOT 01-2676,KI,115,166,825,110,391,0,0
PRESTON,KI,94,173,661,111,383,0,5
ISS 05-3552,KI,71,139,742,97,308,0,1
MARYMOOR,KI,0,0,0,0,0,0,0
HILL,KI,72,138,493,102,312,0,0
LYNX,KI,82,119,531,71,276,0,4
RED 48-3548,KI,35,75,292,35,145,0,0
RED 48-2642,KI,28,63,263,26,117,0,0
RED 48-2641,KI,89,183,645,124,396,0,0
RANCH,KI,43,115,444,75,233,0,0
RED 45-3547,KI,86,172,711,128,388,0,2
KIR 45-1019,KI,108,156,767,100,364,0,0
N-B 05-3296,KI,91,150,682,147,392,0,4
SAM 45-2693,KI,122,187,796,104,414,0,1
KIR 45-3668,KI,38,117,428,51,206,0,0
NEW 41-3227,KI,69,117,467,66,254,0,2
KIR 45-2760,KI,115,165,618,106,386,0,0
KIR 45-2761,KI,93,137,601,111,342,0,1
M-I 41-0755,KI,28,76,265,67,172,0,1
RED 48-0942,KI,49,123,402,85,258,0,1
M-I 41-0758,KI,35,99,284,41,175,0,0
BEL 48-3166,KI,50,153,561,75,278,0,0
BEL 48-3498,KI,36,72,239,45,153,0,0
RAGING RIVER,KI,68,110,505,87,268,0,3
HI-VALLEY,KI,126,261,829,152,542,0,3
RED 48-2636,KI,42,132,451,82,256,0,0
SILVER SPURS,KI,2,6,18,2,10,0,0
RED 48-2634,KI,41,116,389,74,231,0,0
RED 48-2635,KI,36,124,387,64,224,0,0
RED 48-2632,KI,26,49,225,55,130,0,0
RED 48-2633,KI,88,180,626,107,375,0,0
RED 48-2630,KI,42,133,394,82,257,0,0
BEL 41-0011,KI,34,52,346,31,117,0,0
BEL 41-0017,KI,50,142,594,78,270,0,0
RED 48-2467,KI,61,97,398,57,215,0,0
RED 48-2466,KI,103,211,749,144,460,0,2
STEED,KI,134,212,759,152,501,0,3
HAAS,KI,39,82,303,78,199,0,0
RED 45-2659,KI,20,36,154,33,89,0,0
BEL 41-0408,KI,26,72,212,38,136,0,0
ALDERWOOD,KI,50,138,440,92,284,0,4
RED 45-2643,KI,57,121,433,73,254,0,3
BEL 41-2936,KI,43,147,485,71,264,0,3
BEL 41-3291,KI,22,89,292,47,159,0,1
BEL 41-2935,KI,34,142,526,87,264,0,1
HPT 48-0533,KI,37,91,334,76,204,0,0
YPT 48-1234,KI,34,127,411,89,250,0,0
SAM 41-2491,KI,89,162,707,111,367,0,5
BOWOOD,KI,80,168,625,91,339,0,0
SHEFFIELD,KI,63,121,447,101,288,0,3
BEL 41-2447,KI,68,151,527,83,303,0,1
RED 45-2492,KI,49,102,356,62,214,0,1
KIR 45-0622,KI,31,124,390,59,214,0,0
TRILLIUM,KI,110,203,799,162,476,0,1
LORA,KI,96,138,607,107,343,0,2
KIR 45-0610,KI,80,160,552,79,322,2,1
KIR 45-0616,KI,40,130,557,126,297,0,1
KIR 45-0618,KI,41,157,454,117,315,0,0
ISS 41-2692,KI,38,105,382,71,215,0,1
MARCEL,KI,58,84,371,64,207,0,1
SAM 41-3214,KI,55,102,435,83,241,0,1
SAM 41-3215,KI,81,169,814,98,348,0,0
SAM 45-3388,KI,87,170,698,130,389,0,2
SAM 45-3389,KI,112,226,762,121,460,0,1
SAM 41-3607,KI,64,107,498,85,259,0,3
KIR 01-0870,KI,94,156,632,89,340,0,1
SAM 45-3386,KI,92,162,784,144,398,0,0
SAM 45-3387,KI,79,101,402,64,244,0,0
DUTHIE HILL,KI,58,85,356,64,208,0,1
BEL 48-0171,KI,69,105,396,59,234,0,1
BEL 48-0170,KI,22,71,225,31,128,0,4
BROOKSHIRE,KI,39,94,430,74,207,0,0
BEL 41-0129,KI,36,80,316,32,148,0,0
BEL 41-0128,KI,71,134,494,90,295,0,0
BEL 41-0124,KI,54,167,505,86,308,0,1
BEL 41-3225,KI,46,123,539,76,245,0,0
BEL 41-0122,KI,34,119,391,60,213,0,0
BEL 41-0121,KI,46,127,501,54,231,0,4
BEL 41-0120,KI,21,92,248,43,157,0,1
SNQ 05-3151,KI,84,124,627,87,297,0,2
BEAR CREEK,KI,55,128,452,91,275,0,1
WAXWING,KI,41,71,295,66,178,0,0
BOT 01-0257,KI,112,203,718,99,417,0,3
BOT 01-0256,KI,110,203,670,104,417,0,0
BOT 01-0255,KI,107,187,750,130,428,1,3
BOT 01-0254,KI,69,140,561,101,311,0,1
BOT 01-0253,KI,68,91,400,69,229,0,1
BOT 01-0252,KI,81,127,514,97,308,0,3
DUV 45-3642,KI,76,104,443,67,249,0,2
BOT 01-0259,KI,59,109,430,76,245,0,1
BOT 01-0258,KI,114,206,817,120,440,0,0
SNQ 05-3512,KI,123,201,823,147,472,0,1
SAM 45-3505,KI,75,150,573,104,329,0,0
BEL 41-3226,KI,55,140,531,81,278,0,2
ISS 05-3697,KI,0,0,0,0,0,0,0
MINK ROAD,KI,72,108,424,80,260,0,0
SAM 41-2940,KI,25,65,243,45,136,1,0
BEL 41-0333,KI,17,56,222,25,100,0,2
RED 45-3281,KI,90,154,633,66,312,0,2
TOLT,KI,45,84,317,59,188,0,0
BEL 41-2714,KI,62,210,711,100,372,0,0
BEL 41-2719,KI,61,149,520,79,289,0,0
BEL 48-2430,KI,62,155,486,73,290,0,0
BEL 48-2432,KI,56,101,403,67,225,0,1
KIR 45-0619,KI,28,107,296,54,190,0,1
BEL 48-2434,KI,48,133,394,78,259,0,0
SNO-VALLEY,KI,118,162,760,122,408,0,6
SNQ 05-3633,KI,37,70,404,58,166,0,1
CHURCHILL,KI,49,131,425,82,262,0,0
ISS 05-3464,KI,78,178,829,120,376,0,0
REINTREE,KI,79,170,565,104,353,0,0
HUTCHINSON,KI,110,183,678,133,427,0,1
KLAHANIE,KI,59,118,468,86,264,0,1
BEL 41-1052,KI,52,141,462,63,257,0,1
NEW 41-1115,KI,67,177,633,93,340,0,3
M-I 41-0781,KI,15,81,216,44,140,0,0
M-I 41-0780,KI,28,125,389,73,226,0,0
M-I 41-0782,KI,60,143,503,81,285,0,1
M-I 41-0785,KI,38,123,380,82,243,0,0
M-I 41-0784,KI,41,124,411,81,246,0,0
M-I 41-0787,KI,24,98,333,60,182,0,0
