Row Label,County,Dawn M. Bettinger,Janet Garrow,Registered Voters,Times Blank Voted,Times Counted,Times Over Voted,Write-in
MERLOT,KI,89,158,527,102,349,0,0
ROSE,KI,70,124,409,84,280,0,2
KIR 48-3337,KI,106,203,809,152,463,0,2
KIR 45-1040,KI,125,204,783,104,433,0,0
DUV 45-3502,KI,80,88,398,74,243,0,1
RED 48-0939,KI,62,115,457,78,255,0,0
ISS 05-3651,KI,38,81,396,51,170,0,0
RED 48-0937,KI,32,55,223,36,125,0,2
DIANE,KI,0,0,0,0,0,0,0
RED 48-0935,KI,76,139,591,72,291,0,4
DOUGLAS,KI,97,131,568,108,337,0,1
SNQ 05-3514,KI,87,143,648,125,358,0,3
KIR 45-2962,KI,64,89,453,54,208,0,1
BEL 48-0125,KI,33,109,405,58,201,0,1
BEL 41-0460,KI,53,168,506,67,289,0,1
BEL 48-0127,KI,41,92,393,28,161,0,0
DUV 45-3481,KI,106,187,692,104,400,0,3
SAM 45-2620,KI,82,128,491,93,305,0,2
SAM 45-2963,KI,97,207,774,143,448,0,1
SAM 45-2726,KI,63,139,479,76,278,0,0
KIR 48-0615,KI,64,159,542,82,307,0,2
KIR 48-0614,KI,71,188,751,125,384,0,0
ISS 41-1208,KI,77,178,649,114,369,0,0
SAM 45-2684,KI,48,71,304,50,169,0,0
M-I 41-3655,KI,71,107,457,80,258,0,0
KIR 45-0630,KI,63,119,518,76,259,0,1
KIR 45-0631,KI,71,149,585,87,308,0,1
KIR 45-0632,KI,87,131,475,54,273,0,1
BEL 41-3680,KI,43,132,413,64,239,0,0
MICHAEL,KI,101,148,582,104,353,0,0
BEL 41-3684,KI,17,60,240,44,122,0,1
BEL 48-0694,KI,57,144,556,76,279,0,2
WOD 45-3530,KI,89,174,692,99,364,0,2
BEL 48-0198,KI,68,201,846,106,375,0,0
KIR 48-2919,KI,61,82,412,63,207,0,1
BEL 48-0191,KI,25,72,300,49,146,0,0
BEL 48-0190,KI,31,84,443,76,192,0,1
BEL 48-0193,KI,39,96,407,69,205,0,1
BEL 48-0192,KI,39,111,364,57,207,0,0
CAMAS,KI,71,234,719,133,442,0,4
BEL 48-0194,KI,28,80,287,51,159,0,0
BEL 48-0196,KI,33,89,302,52,174,0,0
BOT 01-3398,KI,71,171,656,108,350,0,0
CLEVELAND,KI,48,92,344,72,212,0,0
HAPPY VALLEY,KI,9,47,141,26,82,0,0
RED 48-3147,KI,43,80,439,51,175,0,1
BEL 41-0815,KI,34,76,405,43,155,0,2
SNQ 05-3560,KI,58,117,502,86,263,0,2
ADAIR,KI,210,377,928,168,756,0,1
M-I 41-0790,KI,37,68,246,41,147,0,1
RATTLESNAKE,KI,99,100,605,129,333,0,5
ISS 05-3559,KI,113,252,907,164,529,0,0
SAM 41-0307,KI,56,131,525,102,291,0,2
KIR 01-0356,KI,86,280,816,150,516,0,0
RED 48-0938,KI,18,52,288,36,106,0,0
KIR 48-2915,KI,62,102,411,76,240,0,0
SAM 41-3654,KI,70,136,475,78,287,0,3
RED 48-3134,KI,33,83,351,64,181,0,1
KIR 45-2560,KI,73,146,705,89,308,0,0
BEL 41-0101,KI,41,157,502,73,272,0,1
RED 48-2789,KI,23,79,438,43,145,0,0
WOD 45-2734,KI,98,140,583,89,328,0,1
BEL 41-0102,KI,43,151,464,74,268,0,0
KIR 45-2423,KI,114,226,726,113,453,0,0
KIR 45-2421,KI,70,116,515,87,274,0,1
SAM 45-2791,KI,91,182,637,138,411,0,0
NEW 41-3681,KI,45,95,386,62,202,0,0
NEW 41-3528,KI,43,89,420,49,182,0,1
MILLIKIN,KI,99,204,650,115,422,0,4
WOD 45-3192,KI,52,100,352,58,211,0,1
WOD 45-3193,KI,49,84,462,76,209,0,0
PATTERSON,KI,129,208,861,168,505,0,0
RED 48-3391,KI,80,216,704,107,404,0,1
KIR 45-3640,KI,47,60,311,43,152,0,2
M-I 41-2445,KI,32,162,496,98,292,0,0
RED 45-2580,KI,66,134,384,62,262,0,0
CORWIN,KI,132,222,817,141,498,0,3
SAM 45-2965,KI,82,148,586,94,324,0,0
KIR 45-2924,KI,72,143,718,103,322,0,4
ISS 05-3145,KI,104,174,895,128,406,0,0
KIR 48-2863,KI,57,98,417,76,233,0,2
MARGERY,KI,75,174,762,111,360,0,0
AVONDALE,KI,37,75,293,56,169,0,1
BOT 01-3321,KI,85,121,430,87,293,0,0
M-I 41-2691,KI,41,94,516,66,202,0,1
BEL 48-0126,KI,40,101,354,56,198,0,1
BEL 41-2428,KI,71,169,739,111,351,0,0
BEL 41-2429,KI,77,258,836,114,449,0,0
KIR 48-2925,KI,74,107,498,101,284,0,2
BEL 41-2812,KI,34,92,350,53,180,0,1
RED 48-2966,KI,51,92,526,36,179,0,0
KIR 48-3196,KI,48,113,428,72,233,0,0
BOT 45-3620,KI,32,18,149,13,63,0,0
AMES LAKE,KI,132,177,810,135,445,0,1
BEL 41-2554,KI,61,171,645,110,343,0,1
HOLIDAY LAKE,KI,52,84,299,57,193,0,0
UNION HILL,KI,78,160,628,135,374,0,1
NEW 41-3228,KI,64,108,470,79,254,0,3
RED 45-0936,KI,70,127,476,76,275,0,2
ISS 05-2929,KI,47,177,562,112,341,0,5
WOD 45-1225,KI,73,127,478,78,279,0,1
EASTRIDGE,KI,115,203,818,156,474,0,0
BEL 41-0518,KI,34,98,266,40,172,0,0
M-I 41-0788,KI,21,142,372,70,234,0,1
COOPER,KI,60,115,473,100,278,0,3
KIR 48-2913,KI,99,147,700,86,337,0,5
KIR 48-2914,KI,95,175,723,128,399,0,1
CHERRY VALLEY,KI,77,117,514,110,304,0,0
BOT 01-3195,KI,91,105,510,54,250,0,0
BEL 48-0154,KI,30,88,258,36,157,0,3
BEL 41-0103,KI,59,172,535,78,310,0,1
BEL 48-0156,KI,87,175,659,90,354,0,2
BEL 48-0151,KI,33,119,409,79,232,0,1
BEL 48-0153,KI,36,84,314,39,160,0,1
BEL 41-0106,KI,52,109,457,67,229,0,1
BEL 41-0109,KI,33,75,325,31,139,0,0
BEL 41-0108,KI,42,118,440,70,230,0,0
ISS 05-3138,KI,49,157,435,81,287,0,0
BEL 48-0159,KI,68,133,533,72,273,0,0
BOT 01-2473,KI,97,106,481,51,256,0,2
RED 48-2449,KI,74,133,518,82,290,0,1
RED 48-2448,KI,73,153,544,89,316,0,1
WOD 45-0676,KI,71,149,502,84,304,0,0
ISS 41-2605,KI,53,128,434,59,240,0,0
ISS 41-2602,KI,85,161,817,127,379,0,6
BEL 41-2556,KI,74,201,656,103,378,0,0
ISS 41-2977,KI,42,52,397,42,137,0,1
KIR 48-0642,KI,57,99,430,97,253,0,0
KIR 48-0643,KI,29,59,314,51,141,0,2
KIR 48-0641,KI,33,114,370,74,221,0,0
KIR 48-0646,KI,79,140,511,86,305,0,0
SAM 41-2942,KI,68,177,726,139,385,0,1
KIR 48-0644,KI,77,153,716,162,393,0,1
KIR 48-0645,KI,19,64,230,43,127,0,1
