Row Label,County,Laura Danekas
Washtucna City #1,AD,84
Batum,AD,65
Othello Rural #1,AD,69
Hatton Rural,AD,27
Ralston,AD,26
Hatton City,AD,15
Othello Rural #6,AD,135
Othello Rural #4,AD,123
Othello Rural #5,AD,79
Ritzville Rural NW,AD,116
Fairview,AD,25
Benge,AD,20
Ritzville Rural SE,AD,110
Ritzville Ward #5,AD,118
Ritzville Ward #4,AD,106
Ritzville Ward #1,AD,76
Ritzville Ward #3,AD,136
Ritzville Ward #2,AD,72
Schrag,AD,28
Cunningham,AD,6
Othello Rural #2,AD,84
Othello Rural #3,AD,178
Othello City #2,AD,146
Othello City #3,AD,139
Othello City #1,AD,18
Othello City #6,AD,94
Othello City #4,AD,149
Othello City #5,AD,148
Lind #1,AD,149
Washtucna Rural,AD,59
Lind Rural,AD,60
Total,AD,2660
