Row Label,County,Levy Yes,Levy No
MILL CREEK,ST,67,102
COLUMBIA,ST,234,286
ARDEN 1,ST,135,198
DAISY,ST,86,110
COLVILLE VALLEY,ST,329,301
STONE LODGE,ST,182,207
ECHO VALLEY,ST,110,111
LOON LAKE 2,ST,127,146
NARCISSE,ST,205,282
LOON LAKE 1,ST,277,223
CAMAS PRAIRIE,ST,99,127
EVANS,ST,124,116
SPRINGDALE,ST,38,34
MEYERS FALLS 2,ST,227,281
NORTHPORT,ST,68,39
SUMMIT,ST,115,156
KELLY HILL,ST,41,76
CLAYTON 2,ST,157,268
CLAYTON 1,ST,114,133
ARDEN 2,ST,165,221
MEYERS FALLS 1,ST,148,173
WAITTS LAKE,ST,188,187
WELLPINIT,ST,84,78
CHEWELAH 3,ST,134,72
HUNTERS,ST,172,241
ONION CREEK,ST,95,49
CHEWELAH 2,ST,98,38
CHEWELAH 1,ST,151,108
ECHO,ST,189,217
QUARTZITE 1,ST,307,286
QUARTZITE 2,ST,166,124
TUM TUM 5,ST,193,187
TUM TUM 4,ST,165,158
ROCK CUT,ST,47,48
TUM TUM 1,ST,110,137
TUM TUM 3,ST,290,251
TUM TUM 2,ST,233,219
MARCUS,ST,35,34
Total,ST,6997,7664
FIRST THOUGHT,ST,31,33
WALKERS PRAIRIE,ST,150,122
CAMAS,ST,141,213
ADDY,ST,185,242
WILLIAMS VALLEY,ST,176,327
ORIN 1,ST,108,169
ORIN 2,ST,169,187
CHEWELAH FORE,ST,83,73
RICE,ST,115,101
VALLEY 1,ST,26,41
VALLEY 2,ST,108,132
