Row Label,County,Debra L. Stephens,John (Zamboni) Scannell
0134,YA,511,128
4303,YA,94,23
0130,YA,163,39
0131,YA,186,60
0132,YA,204,44
0133,YA,377,119
0138,YA,394,106
0139,YA,359,70
4005,YA,170,46
1301,YA,133,43
0140,YA,155,56
0142,YA,323,74
0308,YA,0,0
0307,YA,17,2
0306,YA,234,62
0305,YA,8,6
0304,YA,80,25
0303,YA,164,53
0302,YA,154,45
0301,YA,43,18
0127,YA,186,64
0126,YA,102,30
0124,YA,68,16
0120,YA,135,52
2701,YA,479,143
0129,YA,116,56
3401,YA,93,27
1701,YA,156,69
1702,YA,19,4
1703,YA,156,50
1704,YA,0,0
1705,YA,274,80
1706,YA,203,68
1708,YA,158,53
4401,YA,138,33
4402,YA,160,45
5010,YA,69,21
0113,YA,119,40
0110,YA,134,59
0111,YA,158,45
0116,YA,274,93
5016,YA,108,32
0118,YA,93,31
3308,YA,251,75
3309,YA,158,61
3306,YA,127,39
3304,YA,258,83
3305,YA,201,77
3303,YA,107,36
3301,YA,190,64
4801,YA,413,138
4802,YA,408,104
3004(*),YA,0,0
2301,YA,170,50
2303,YA,169,56
2306,YA,231,91
5003,YA,231,65
5001,YA,66,14
0104,YA,134,54
0101,YA,116,33
0103,YA,116,32
4114,YA,82,34
4115,YA,133,40
0901,YA,84,37
4625,YA,6,5
4626,YA,11,3
4111,YA,294,95
3311,YA,463,147
3310,YA,172,69
3313,YA,95,26
3002(*),YA,0,0
3504,YA,11,3
4605(*),YA,0,0
4623,YA,19,14
4624,YA,124,41
4112,YA,358,115
0190,YA,175,40
5014,YA,233,69
0179,YA,331,80
0170,YA,221,55
0173,YA,197,52
0175,YA,152,42
0177,YA,349,91
4101,YA,107,30
4628,YA,85,22
4102,YA,250,73
4105,YA,114,54
4104,YA,175,54
4106,YA,200,72
4109,YA,374,61
4108,YA,160,64
1901,YA,78,35
0185,YA,323,76
0184,YA,229,77
0187,YA,271,77
0186,YA,382,92
0181,YA,336,100
0180,YA,179,47
0183,YA,270,59
0182,YA,478,115
0501,YA,164,49
0189,YA,214,48
0188,YA,373,73
1502,YA,284,93
1503,YA,269,73
1501,YA,191,52
1504,YA,322,81
3602,YA,392,128
0169,YA,390,75
0168,YA,325,93
0001,YA,0,0
3605,YA,409,149
0163,YA,340,73
0162,YA,172,37
0167,YA,341,74
4627,YA,91,17
4608,YA,90,28
4609,YA,108,39
4606,YA,261,77
4604,YA,124,36
5101,YA,129,34
4602,YA,119,44
4603,YA,299,76
4601,YA,128,37
3206,YA,319,87
3205,YA,340,114
3204,YA,31,11
3203,YA,323,88
3208,YA,34,10
1103,YA,191,60
1101,YA,188,69
2103,YA,211,53
2101,YA,237,108
3904,YA,84,25
3905,YA,75,24
3901,YA,300,100
3902,YA,112,39
3903,YA,492,139
3601,YA,29,4
4618,YA,169,48
4615,YA,205,53
4616,YA,97,26
3104,YA,220,55
3105,YA,27,7
3106,YA,241,69
4003,YA,347,82
3101,YA,383,109
3102,YA,201,66
3103,YA,121,50
5012,YA,206,46
5020,YA,160,48
2501,YA,186,76
4504,YA,210,49
5202,YA,0,0
4501,YA,64,30
4503,YA,24,14
3701,YA,189,44
0156,YA,133,48
0154,YA,256,64
0155,YA,274,76
0153,YA,228,70
0150,YA,146,46
4001,YA,90,19
0701,YA,55,24
Total,YA,31049,9099
4002,YA,84,31
0158,YA,122,38
