Row Label,County,Leah McCormack
JENNINGS LOOP,OK,25
MOCCASIN LAKE,OK,54
TONASKET CREEK,OK,28
FINLEY CANYON,OK,56
TUNK CREEK,OK,70
NORTH TONASKET,OK,59
FLETCHER,OK,41
GREENACRES,OK,28
OMAK #21,OK,30
BUCKHORN MTN,OK,43
GLOVER,OK,53
OMAK #22,OK,44
OMAK #23,OK,21
OMAK #24,OK,31
WEST CHEWUCH,OK,49
OKANOGAN #13,OK,24
METHOW,OK,60
ELMWAY,OK,38
BREWSTER FLAT,OK,37
TEAL LAKE,OK,29
TONASKET RURAL,OK,26
NORTH STAR,OK,12
NESPELEM CITY,OK,15
VALLEY,OK,40
OMAK RIVER,OK,42
BREWSTER #6,OK,19
OWHI,OK,24
AENEAS CREEK,OK,43
OMAK #19,OK,30
PINE CONE,OK,29
ASTON,OK,31
BREWSTER #2,OK,57
BREWSTER #3,OK,32
BREWSTER RURAL,OK,50
BREWSTER #1,OK,25
WHISKY MTN,OK,13
BREWSTER #4,OK,14
LIME BELT,OK,20
ELLISFORDE,OK,54
ALMA,OK,40
OROVILLE #8,OK,35
AENEAS LAKE,OK,62
OMAK #13,OK,32
SUNSET LAKES,OK,18
OMAK #6,OK,39
PALMER LAKE,OK,42
CARLTON,OK,29
OMAK #5,OK,45
OMAK #2,OK,41
MAZAMA,OK,66
FIKER,OK,39
OMAK #1,OK,23
PATEROS #3,OK,23
PATEROS #2,OK,35
PATEROS #1,OK,35
OKANOGAN #6,OK,42
OMAK #8,OK,18
BLACK CANYON,OK,30
CANAL,OK,35
OKANOGAN #3,OK,21
OKANOGAN #1,OK,34
COLUMBIA,OK,20
OKANOGAN #7,OK,17
TWISP RURAL,OK,46
BONAPARTE,OK,29
GUSTY RIDGE,OK,34
OROVILLE #7,OK,29
ROSS CANYON,OK,47
OKANOGAN #9,OK,38
OROVILLE #4,OK,38
KIPLING,OK,24
LONGANECKER,OK,29
NORTH OMAK,OK,27
OMAK MTN,OK,20
AVIATION,OK,26
RAT LAKE,OK,26
WINTHROP #2,OK,48
OMAK #7,OK,36
OMAK #10,OK,50
TWIN LAKES,OK,64
OMAK #4,OK,31
MOLSON,OK,54
YARNELL,OK,26
WHITESTONE,OK,29
CHEWILIKEN,OK,21
COULEE DAM #4,OK,31
OMAK #3,OK,17
HAVILLAH,OK,56
OMAK #20,OK,41
PINE CREEK,OK,39
EDELWEISS,OK,52
BUFFALO LAKE,OK,19
POORMAN CREEK,OK,79
CHESAW,OK,36
PATEROS RURAL,OK,38
CAYUSE MTN,OK,25
SOURDOUGH,OK,54
HIGHWAY,OK,18
DAVIS LAKE,OK,47
LEECHER MTN,OK,52
SOUTH OROVILLE,OK,53
BEEMAN,OK,57
MYERS CREEK,OK,18
BLUE LAKE,OK,47
POGUE,OK,64
MONSE #3,OK,31
TORODA,OK,50
MONSE #1,OK,50
BOUNDARY,OK,43
OMAK #9,OK,64
TONASKET #6,OK,20
SAN POIL,OK,65
LAKE ANDREWS,OK,37
ENGH,OK,62
OKANOGAN #2,OK,44
ANTOINE CREEK,OK,27
BRIDGE CREEK,OK,27
RIVERSIDE RURAL,OK,78
SPRING COULEE,OK,56
SPECTACLE LAKE,OK,39
AIRPORT,OK,52
DULEY LAKE,OK,22
OROVILLE #9,OK,26
FLATS,OK,41
WINTHROP #1,OK,65
OROVILLE #5,OK,40
OROVILLE #6,OK,21
CROSSROADS,OK,34
OROVILLE #1,OK,34
OROVILLE #2,OK,25
OROVILLE #3,OK,24
LIBBY CREEK,OK,61
OKANOGAN RURAL,OK,33
OKANOGAN #4,OK,42
WEST RIVER,OK,23
BALKY HILL,OK,38
COPPLE,OK,51
OKANOGAN #5,OK,44
MISSION,OK,26
NESPELEM RURAL,OK,19
PATTERSON LAKE,OK,61
MCGINNIS LAKE,OK,11
HORSESHOE LAKE,OK,29
OKANOGAN #8,OK,36
NICHOLS,OK,26
CONCONULLY CITY,OK,68
ORCHARD,OK,28
ELMER CITY,OK,62
MCCLURE MTN,OK,58
ALTA LAKE,OK,39
PEARRYGIN LAKE,OK,34
COLEMAN BUTTE,OK,43
TWISP #4,OK,22
JOHNSON CREEK,OK,45
TWISP #3,OK,63
TWISP #1,OK,63
DUFFYS MTN,OK,26
LOOMIS,OK,51
RIVERSIDE CITY,OK,61
SHORELINE,OK,28
SIMILKAMEEN,OK,29
PIONEER,OK,45
CRUMBACHER,OK,61
OMAK #11,OK,67
OMAK #12,OK,47
LONE PINE,OK,23
OMAK #14,OK,30
OMAK #15,OK,53
OMAK #16,OK,36
OMAK #17,OK,52
PICKENS MTN,OK,35
EDER,OK,42
