Row Label,County,Debra L. Stephens,John (Zamboni) Scannell
Usk,PE,95,51
Diamond Lk East,PE,62,32
Sacheen,PE,163,47
Diamond Lk,PE,196,89
Diamond Lk West,PE,106,36
Noble,PE,173,91
Furport,PE,154,38
Deer Valley South,PE,34,19
Cusick,PE,76,38
Ione East,PE,86,37
Kalispel Leclerc,PE,83,36
Tiger Dry Canyon,PE,162,84
Ruby,PE,17,6
Ione West,PE,104,56
Newport NE,PE,137,61
Metaline,PE,43,29
Newport SE,PE,78,24
Skookum,PE,31,26
Newport NW,PE,139,34
Newport SW,PE,101,37
Dalkena,PE,174,59
Deer Valley North,PE,128,49
Locke,PE,20,10
Fertile Valley South,PE,97,45
Fertile Valley North,PE,95,43
Camden,PE,90,63
Total,PE,2757,1178
Metaline Falls,PE,113,38
