Row Label,County,Johanna Bender,Registered Voters,Times Blank Voted,Times Counted,Times Over Voted,Write-in
SEA 37-1629,KI,115,527,103,221,0,3
SEA 46-2344,KI,194,760,134,329,0,1
SEA 46-2311,KI,142,451,113,256,0,1
SEA 34-3648,KI,130,470,109,240,0,1
SEA 46-1968,KI,89,297,88,177,0,0
SEA 36-1391,KI,123,439,135,262,0,4
SEA 36-1390,KI,93,290,98,191,0,0
SEA 36-1393,KI,109,297,100,209,0,0
SEA 36-1392,KI,130,411,123,255,0,2
SEA 36-1395,KI,136,444,138,276,0,2
SEA 36-1394,KI,154,559,178,336,0,4
SEA 36-1397,KI,100,357,130,233,0,3
SEA 36-1396,KI,82,282,82,166,0,2
SEA 36-1399,KI,112,296,93,205,0,0
SEA 36-1816,KI,99,303,73,172,0,0
SEA 46-3687,KI,71,220,71,143,0,1
SEA 43-2017,KI,124,430,140,267,0,3
SEA 37-3416,KI,79,502,48,134,0,7
SEA 36-1403,KI,101,497,130,234,0,3
SEA 36-1402,KI,104,381,101,206,0,1
SEA 43-2013,KI,88,310,127,216,0,1
SEA 43-2011,KI,93,278,95,189,0,1
SEA 46-2353,KI,129,488,68,199,0,2
SEA 46-2096,KI,85,230,77,162,0,0
SEA 43-2018,KI,175,559,188,363,0,0
SEA 34-3637,KI,184,567,122,309,0,3
SEA 46-2097,KI,112,400,145,257,0,0
SEA 34-3632,KI,59,271,40,99,0,0
SEA 46-2276,KI,111,382,138,250,0,1
SEA 43-1351,KI,151,561,162,315,0,2
SEA 37-1936,KI,107,296,115,222,0,0
SEA 43-1353,KI,133,449,125,260,0,2
SEA 43-1352,KI,164,608,156,322,0,2
SEA 43-1355,KI,133,401,110,244,0,1
SEA 43-1354,KI,123,435,116,240,0,1
SEA 43-1357,KI,107,355,83,192,0,2
SEA 43-2049,KI,87,453,119,208,0,2
SEA 43-1359,KI,154,518,135,291,0,2
SEA 43-1358,KI,107,418,114,224,0,3
SEA 37-1934,KI,236,784,231,472,0,5
SEA 37-1935,KI,89,291,115,204,0,0
SEA 37-3647,KI,84,447,60,146,0,2
SEA 43-2059,KI,126,424,126,252,0,0
SEA 37-3159,KI,217,845,163,383,0,3
SEA 46-2271,KI,149,476,167,319,0,3
SEA 46-2347,KI,140,519,140,281,0,1
SEA 46-1952,KI,83,281,96,179,0,0
SEA 46-1953,KI,100,236,75,175,0,0
SEA 46-1954,KI,98,282,104,203,0,1
SEA 37-1638,KI,78,505,83,162,0,1
SEA 36-1308,KI,79,298,113,193,0,1
SEA 36-1309,KI,155,556,170,328,0,3
SEA 36-1306,KI,117,381,123,240,0,0
SEA 36-1307,KI,85,276,89,174,0,0
SEA 36-1304,KI,117,333,115,234,0,2
SEA 36-1305,KI,98,301,107,206,0,1
SEA 37-1631,KI,89,301,97,187,0,1
SEA 36-1303,KI,125,411,142,269,0,2
SEA 36-1300,KI,113,383,101,214,0,0
SEA 36-1301,KI,94,319,124,218,0,0
SEA 36-1715,KI,82,355,88,172,0,2
SEA 36-1714,KI,161,526,158,321,0,2
SEA 36-1717,KI,64,251,70,134,0,0
SEA 36-1716,KI,74,357,103,177,0,0
