Row Label,County,Matt Manweller
DAMMAN,KS,259
VANTAGE,KS,23
PARK,KS,289
TEANAWAY,KS,244
ELLENSBURG 20,KS,54
CLE ELUM 4,KS,204
ELLENSBURG 22,KS,129
ELLENSBURG 23,KS,150
CLE ELUM 1,KS,135
ELLENSBURG 25,KS,256
CLE ELUM 3,KS,40
CLE ELUM 2,KS,86
SOUTH CLE ELUM,KS,141
FAIRVIEW,KS,166
RONALD,KS,107
NORTHEAST FAIRVIEW,KS,279
ELLENSBURG 24,KS,277
ELLENSBURG 9,KS,65
ELLENSBURG 8,KS,61
RIDGEWAY,KS,366
ELLENSBURG 1,KS,34
ELLENSBURG 2,KS,39
ELLENSBURG 5,KS,48
ELLENSBURG 4,KS,27
ELLENSBURG 7,KS,38
ELLENSBURG 6,KS,40
EAST SANDERS,KS,269
THRALL,KS,243
ELLENSBURG 21,KS,87
MOUNTAIN,KS,95
HYAK,KS,71
ROSLYN 1,KS,107
ROSLYN 2,KS,69
KITTITAS 1,KS,107
KACHESS,KS,70
MANASTASH,KS,199
DENMARK,KS,376
ROSLYN OUTLYING,KS,43
SOUTH ELLENSBURG,KS,317
DRY CREEK,KS,303
NORTH CENTRAL,KS,210
ELLENSBURG 11,KS,88
ELLENSBURG 10,KS,84
ELLENSBURG 13,KS,53
ELLENSBURG 12,KS,62
ELLENSBURG 15,KS,113
ELLENSBURG 14,KS,86
ELLENSBURG 17,KS,137
ELLENSBURG 16,KS,176
ELLENSBURG 19,KS,197
ELLENSBURG 18,KS,28
WESTSIDE,KS,310
EASTON,KS,276
PEOH POINT,KS,241
SANDERS,KS,101
KITTITAS 2,KS,126
NORTH ELLENSBURG,KS,326
THORP,KS,244
SWAUK,KS,163
Total,KS,8934
