Row Label,County,Jon Tunheim
Yelm 1,TH,202
Griffin,TH,207
Kaiser,TH,109
Smith Prairie,TH,243
Olympia 01,TH,211
Lacey 29,TH,258
Scott Lake South,TH,179
Tri Lakes,TH,131
Woodland,TH,193
Plumb,TH,243
Montgomery,TH,126
Olympia 10,TH,241
Summerset,TH,355
Olympia 12,TH,125
Olympia 13,TH,223
Pleasant Hill,TH,238
Olympia 15,TH,167
Smith Lake,TH,218
Olympia 17,TH,156
Olympia 18,TH,198
Rocky Prairie,TH,143
Tumwater 05,TH,155
Scatter Creek,TH,161
Lacey 06,TH,84
Henderson,TH,314
Mullen,TH,257
Marvin,TH,261
Rochester 4,TH,164
Rochester 5,TH,227
Rochester 2,TH,204
Rochester 3,TH,211
French,TH,247
Rochester 1,TH,269
Tumwater 11,TH,286
Evergreen Ballroom,TH,280
Littlerock,TH,342
Lacey 10,TH,270
Skookumchuck,TH,221
Delphi,TH,227
Tolmie,TH,91
St Clair,TH,205
Olympia 58,TH,221
Tenino 01,TH,136
James,TH,178
Tumwater 10,TH,292
Lacey 14,TH,80
Olympia 07,TH,131
Olympia 06,TH,355
Olympia 05,TH,202
Olympia 04,TH,208
Olympia 03,TH,227
Olympia 02,TH,217
Plainview,TH,354
Lacey 27,TH,187
Delridge,TH,59
Military,TH,94
Lacey 16,TH,210
Lacey 39,TH,352
Olympia 09,TH,380
Sweet Briar,TH,325
Rainier 01,TH,157
Puget,TH,281
Olympia 11,TH,188
Vail,TH,265
Stedman,TH,142
Tumwater 13,TH,91
Zenkner Valley,TH,50
Trailblazer,TH,92
Libby,TH,190
Lackamas,TH,91
Broadway,TH,306
Johnson Point,TH,275
Sleater Kinney,TH,201
Medicine Creek,TH,103
Lacey 42,TH,71
Olympia 16,TH,44
Tumwater 12,TH,227
Prine,TH,44
Long Lake,TH,62
Lacey 33,TH,114
Olympia 53,TH,206
Lacey 31,TH,160
Lacey 30,TH,296
Greenridge,TH,154
Lacey 36,TH,131
Rich,TH,171
Olympia 19,TH,200
Butler Cove,TH,215
Lacey 34,TH,127
Mud Bay,TH,215
