Row Label,County,Tony Fyrqvist,Rhonda Pederson
Friday Harbor North,SJ,235,224
San Juan South East,SJ,167,185
Lopez North,SJ,226,383
Total,SJ,3111,3804
Decatur and Outer Is,SJ,14,12
Shaw,SJ,36,45
San Juan West,SJ,266,227
Turn Point,SJ,132,101
San Juan South West,SJ,254,274
Orcas East,SJ,163,269
Eastsound,SJ,179,356
Blakely &amp; Outer Is,SJ,5,12
Friday Harbor South,SJ,190,159
Waldron &amp; Outer Is,SJ,22,26
Orcas Central,SJ,196,290
San Juan North,SJ,186,211
Lopez South,SJ,184,279
Orcas West,SJ,168,319
San Juan East,SJ,199,189
San Juan Central,SJ,289,243
