Row Label,County,Cathy McMorris Rodgers,Joseph (Joe) Pakootas
PATAHA,GA,137,36
PING - VOTE BY MAIL,GA,16,3
PEOLA-VOTE BY MAIL,GA,11,2
GROUSE-VOTE BY MAIL(*),GA,0,0
MAYVIEW-VOTE BY MAIL(*),GA,0,0
TUCANNON - VB MAIL,GA,52,12
WARD 3,GA,177,54
WARD 1,GA,82,26
SCOGGIN - VB MAIL,GA,81,23
Total,GA,892,280
WARD 4,GA,106,49
WARD 2,GA,159,54
PLEASANT-VB MAIL,GA,34,13
