Row Label,County,Mark Smith,Joe Gardner
Memorial,CZ,100,174
Windemere,CZ,305,350
Olson,CZ,140,176
Modrow,CZ,171,236
Ostrander,CZ,192,310
Baltimore,CZ,184,257
Magnolia,CZ,338,363
Hudson,CZ,241,245
Lake,CZ,169,227
Kessler,CZ,254,309
St. Helens,CZ,85,129
Woodage,CZ,212,172
Arkansas,CZ,86,135
Elk Ridge(*),CZ,0,0
Woodland South,CZ,278,263
Tunstall,CZ,99,97
Brynion,CZ,142,214
Marigold,CZ,256,322
Crawford,CZ,178,257
Chinook,CZ,226,325
Ridgecrest,CZ,19,17
Cloverdale,CZ,187,177
Woodland North,CZ,352,289
Mill,CZ,225,303
Ponderosa,CZ,185,231
Owl Creek,CZ,277,364
Willow Grove,CZ,63,78
Robbins,CZ,292,327
Powell,CZ,186,264
Ocean Beach,CZ,184,269
Sparks,CZ,137,151
Beacon,CZ,280,343
Harris,CZ,176,268
Delameter,CZ,164,253
Ryderwood,CZ,104,112
Redpath,CZ,128,213
Nevada,CZ,180,218
Sandy Bend,CZ,202,272
Mint Valley,CZ,339,335
Burcham,CZ,339,401
Columbia Valley Gdns,CZ,119,222
Lexington,CZ,168,220
Rose Valley,CZ,154,188
Mt. Solo,CZ,67,73
Haussler,CZ,133,181
Silver Lake,CZ,247,529
Ammons,CZ,180,169
Kalama North,CZ,159,203
Yale,CZ,190,198
Bakers,CZ,4,16
Sacajawea,CZ,435,386
Alabama,CZ,90,181
Kalama South,CZ,205,263
Carrolls,CZ,221,268
Caples,CZ,129,77
Lone Oak,CZ,147,137
Lewis River,CZ,335,341
Industrial,CZ,0,0
Castle Rock,CZ,228,383
West Kelso,CZ,42,73
Stella,CZ,151,290
Toutle,CZ,162,414
Tower,CZ,247,456
Columbia Heights,CZ,131,151
Pacific,CZ,239,252
McGowan,CZ,51,54
Hillcrest,CZ,420,361
Boondox,CZ,7,11
View,CZ,146,174
Coal Creek,CZ,284,388
Laurel,CZ,301,276
Douglas(*),CZ,0,0
Total,CZ,13182,16585
