Row Label,County,Brian Burnett
210,CH,234
1149,CH,28
133,CH,234
132,CH,25
131,CH,36
136,CH,4
135,CH,375
134,CH,382
490,CH,583
540,CH,339
163,CH,18
1151,CH,2
1150,CH,6
710,CH,245
120,CH,194
121,CH,183
122,CH,110
123,CH,29
124,CH,45
125,CH,389
126,CH,47
127,CH,89
128,CH,41
129,CH,141
410,CH,292
530,CH,424
590,CH,337
310,CH,145
190,CH,37
115,CH,25
114,CH,260
116,CH,89
111,CH,61
110,CH,213
113,CH,38
112,CH,20
520,CH,577
420,CH,311
580,CH,259
440,CH,464
100,CH,6
510,CH,219
430,CH,428
450,CH,396
330,CH,242
175,CH,434
174,CH,253
173,CH,13
172,CH,18
171,CH,9
730,CH,377
182,CH,272
183,CH,153
181,CH,326
560,CH,363
460,CH,371
164,CH,128
165,CH,84
161,CH,28
162,CH,22
220,CH,271
720,CH,354
151,CH,3
150,CH,38
153,CH,502
152,CH,3
155,CH,150
154,CH,424
157,CH,353
156,CH,47
159,CH,7
158,CH,174
320,CH,224
146,CH,73
147,CH,353
144,CH,19
145,CH,18
142,CH,31
143,CH,2
140,CH,110
141,CH,7
610,CH,254
148,CH,161
149,CH,170
480,CH,396
Total,CH,15617
