Row Label,County,June Robinson,Jesse Anderson
MILLARD,SN,66,114
STRAUS,SN,131,255
EVERETT   6,SN,138,68
EVERETT   7,SN,88,40
EVERETT   4,SN,168,111
EVERETT   5,SN,158,82
EVERETT   2,SN,225,72
EVERETT   3,SN,161,71
EVERETT  75,SN,84,98
EVERETT   1,SN,234,142
EVERETT  78,SN,67,72
EVERETT   8,SN,151,87
EVERETT   9,SN,250,191
MARYSVILLE 27,SN,167,199
MARYSVILLE 26,SN,176,158
MARYSVILLE 25,SN,92,66
MARYSVILLE 20,SN,142,138
EVERETT  23,SN,17,38
MARYSVILLE 29,SN,70,89
MARYSVILLE 28,SN,78,97
MARYSVILLE 47,SN,150,132
MARYSVILLE 46,SN,175,213
MARYSVILLE 41,SN,108,87
MARYSVILLE 40,SN,98,135
MARYSVILLE 43,SN,128,151
MARYSVILLE 42,SN,114,128
MARYSVILLE 49,SN,107,118
MARYSVILLE 48,SN,132,114
TULALIP 2,SN,190,78
TULALIP 3,SN,159,122
TULALIP 1,SN,170,147
TULALIP 6,SN,102,47
TULALIP 4,SN,165,158
TULALIP 5,SN,113,78
EVERETT  60,SN,153,99
EVERETT  62,SN,117,74
EVERETT  63,SN,112,109
EVERETT  67,SN,162,95
EVERETT  68,SN,190,162
EVERETT  69,SN,169,96
WENBERG,SN,134,161
MARYSVILLE 32,SN,91,119
MARYSVILLE 35,SN,132,159
MARYSVILLE 36,SN,105,99
MARYSVILLE 37,SN,98,96
MARYSVILLE 38,SN,88,116
MARYSVILLE 39,SN,133,116
MARYSVILLE 50,SN,148,135
MARYSVILLE 51,SN,62,62
EVERETT  55,SN,46,30
EVERETT  54,SN,130,130
EVERETT  51,SN,149,105
EVERETT  50,SN,168,105
EVERETT  53,SN,165,120
WILLOW,SN,124,112
EVERETT  59,SN,141,72
EVERETT  58,SN,17,12
EVERETT  73,SN,152,125
EVERETT  72,SN,91,54
EVERETT  71,SN,91,61
EVERETT  48,SN,114,104
EVERETT  49,SN,202,142
SHELTON,SN,166,224
EVERETT  42,SN,122,93
EVERETT  43,SN,73,93
EVERETT  40,SN,70,59
EVERETT  41,SN,130,92
EVERETT  46,SN,143,77
EVERETT  47,SN,163,97
EVERETT  44,SN,111,77
EVERETT  45,SN,123,98
HAT ISLAND,SN,15,20
EVERETT  74,SN,79,89
SYLVAN,SN,11,13
SPENCER(*),SN,0,0
EVERETT  76,SN,120,129
EVERETT  39,SN,124,133
EVERETT  38,SN,38,39
EVERETT  37,SN,168,103
EVERETT  36,SN,134,101
EVERETT  34,SN,108,81
EVERETT  33,SN,226,141
EVERETT  32,SN,157,120
EVERETT  31,SN,123,76
EVERETT  30,SN,179,156
EVERETT  70,SN,2,2
BOEING,SN,91,141
EVERETT  77,SN,116,104
EVERETT  28,SN,124,104
EVERETT  29,SN,116,91
EVERETT  24,SN,166,125
EVERETT  25,SN,155,86
EVERETT  26,SN,253,144
EVERETT  27,SN,192,103
EVERETT  20,SN,172,89
EVERETT  21,SN,241,126
EVERETT  22,SN,156,86
TIMBER,SN,0,0
CHATHAM,SN,32,26
PRIEST POINT,SN,109,87
MARYSVILLE  9,SN,64,67
MARYSVILLE  8,SN,145,111
MARYSVILLE  1,SN,96,110
MARYSVILLE  3,SN,148,184
MARYSVILLE  2,SN,69,65
MARYSVILLE  4,SN,129,98
MARYSVILLE  7,SN,83,109
MARYSVILLE  6,SN,109,109
EVERETT  11,SN,227,123
EVERETT  10,SN,141,70
EVERETT  13,SN,141,83
EVERETT  12,SN,166,82
EVERETT  15,SN,159,102
EVERETT  14,SN,188,77
EVERETT  17,SN,107,54
EVERETT  16,SN,134,78
EVERETT  19,SN,173,76
EVERETT  18,SN,241,121
COHO(*),SN,0,0
EVERETT  90,SN,53,29
EVERETT  93,SN,106,66
EVERETT  94,SN,90,84
TYEE,SN,142,135
LOMA,SN,119,161
MARYSVILLE 11,SN,197,177
EVERETT  88,SN,148,129
EVERETT  89,SN,129,86
EVERETT  86,SN,131,105
EVERETT  87,SN,89,91
EVERETT  85,SN,108,104
EVERETT  82,SN,111,114
EVERETT  80,SN,152,156
EVERETT  81,SN,98,49
MARYSVILLE 13,SN,109,129
MARYSVILLE 10,SN,105,113
Total,SN,17355,13935
MARYSVILLE 17,SN,136,135
MARYSVILLE 15,SN,165,117
