Row Label,County,Clint Didier,Dan Newhouse
Griffin,BE,4,5
215,BE,99,102
Ridge,BE,0,0
Kiona,BE,264,196
210,BE,107,96
Hedges,BE,139,86
Weidle,BE,30,20
Randy,BE,75,54
W2 - P641,BE,96,97
W2 - P640,BE,162,125
135,BE,84,167
165,BE,99,107
W1 - P685,BE,181,209
W1 - P686,BE,160,170
W1 - P680,BE,185,188
W1 - P681,BE,121,155
W1 - P682,BE,212,240
W1 - P683,BE,117,166
El Rancho,BE,237,241
Columbia(*),BE,0,0
Benton South,BE,143,119
W3 - P545,BE,86,64
French,BE,24,13
289,BE,207,226
288,BE,104,163
(none),BE,174,107
Carley(*),BE,0,0
281,BE,166,269
280,BE,134,246
283,BE,108,146
220,BE,88,95
285,BE,223,248
284,BE,114,136
287,BE,80,94
286,BE,120,116
235,BE,90,93
Apricot,BE,29,42
Benton East,BE,0,0
Candy,BE,5,2
455,BE,83,187
Reata,BE,119,135
W1 - P670,BE,109,146
W3-P511,BE,9,14
W1 - P675,BE,72,64
W1 - P674,BE,110,112
265,BE,116,119
W1 - P676,BE,178,211
Harrington,BE,198,171
W3 - P558,BE,231,182
W3 - P559,BE,213,156
W3 - P552,BE,170,133
W3 - P553,BE,157,113
W3 - P550,BE,197,123
W3 - P551,BE,140,117
W3 - P556,BE,197,188
W3 - P557,BE,196,137
WR 11,BE,180,121
W3 - P555,BE,145,90
WR 17,BE,135,93
130,BE,86,167
WR 16,BE,125,71
Onion(*),BE,0,0
Benton North,BE,170,185
292,BE,83,137
293,BE,89,86
290,BE,171,161
Badger,BE,156,95
Crow Butte,BE,23,13
195,BE,104,136
Washington,BE,65,46
311,BE,0,0
310,BE,128,195
Mills,BE,210,163
Rattlesnake,BE,30,43
Liberty,BE,8,3
115,BE,67,132
271,BE,79,70
W1 - P660,BE,146,139
W1 - P667,BE,73,64
W1 - P664,BE,221,268
W1 - P665,BE,172,203
278,BE,161,182
279,BE,62,58
W1 - P668,BE,205,255
W1 - P669,BE,85,94
175,BE,223,257
Susie,BE,12,27
Walnut Grove,BE,93,105
Kennewick Valley,BE,160,120
Yakima,BE,3,2
Hawthorne,BE,99,86
W3 - P560,BE,89,72
255,BE,125,127
Yellowstone,BE,87,80
Cook,BE,12,4
Celilo,BE,179,167
WR 10,BE,12,16
Black Rock(*),BE,0,0
Orchard,BE,10,7
300,BE,123,157
301,BE,105,180
Jewel,BE,28,16
305,BE,117,185
W1 - P657,BE,121,113
W1 - P656,BE,72,74
W1 - P655,BE,108,75
Shockley,BE,3,2
240,BE,188,180
W1 - P651,BE,38,31
W1 - P650,BE,194,151
Ivey,BE,136,84
105,BE,91,88
245,BE,104,89
Hanford 4,BE,0,0
Hanford 3,BE,0,0
Hanford 2,BE,0,0
Hanford 1,BE,0,0
Cascade,BE,133,118
Gage(*),BE,0,0
Roe,BE,13,6
WR 1,BE,61,98
W2 - P633,BE,140,180
Cone,BE,106,75
W3 - P540,BE,145,131
160,BE,152,209
291,BE,166,160
282,BE,214,238
W2 - P635,BE,197,146
Elk,BE,0,0
125,BE,103,100
450,BE,101,218
Salmon,BE,44,26
Umatilla,BE,88,46
W1 - P645,BE,26,30
W1 - P646,BE,52,47
190,BE,128,181
Bobbie,BE,0,0
W2 - P639,BE,97,95
W2 - P601,BE,77,69
W2 - P600,BE,82,66
Riverside,BE,169,151
W2 - P605,BE,122,95
Finley,BE,257,175
170,BE,109,108
W3 - P505,BE,103,102
Buena Vista,BE,220,241
W3 - P500,BE,29,26
Demoss,BE,10,11
Sunny,BE,41,35
316,BE,0,0
Pearson(*),BE,0,0
180,BE,60,98
W2 - P570,BE,143,98
186,BE,58,52
Dot,BE,94,51
W2 - P575,BE,62,65
185,BE,44,87
250,BE,120,148
Vineyard(*),BE,0,0
465,BE,108,201
Horse Heaven,BE,20,22
460,BE,102,167
McBee(*),BE,0,0
315,BE,189,296
Enterprise,BE,105,119
W2 - P590,BE,111,89
W2 - P610,BE,90,108
W2 - P595,BE,113,114
Prosser North,BE,130,167
W2 - P615,BE,47,33
270,BE,130,188
W3 - P515,BE,68,79
W3 - P510,BE,74,60
225,BE,110,116
Miller(*),BE,0,0
W2 - P565,BE,56,69
Canyon,BE,151,145
295,BE,144,152
W2 - P560,BE,98,65
Roza,BE,0,0
Edgewater,BE,134,98
W2 - P625,BE,127,171
110,BE,104,145
151,BE,163,322
150,BE,155,225
Vista,BE,82,55
WR 4,BE,224,188
Legion,BE,155,135
Cherry,BE,163,148
Oak,BE,87,64
WR 9,BE,117,113
WR 8,BE,213,189
W1-P663,BE,141,114
Paterson,BE,10,11
WR 2,BE,75,94
WR 3,BE,70,66
W2 - P626,BE,94,63
W2 - P580,BE,80,108
W3 - P520,BE,51,46
WR 7,BE,201,195
Chandler,BE,30,19
W3 - P525,BE,81,113
W2 - P585,BE,72,84
W2-P574,BE,71,85
230,BE,79,95
WR12,BE,215,157
WR13,BE,135,96
WR14,BE,218,199
WR15,BE,144,114
