Row Label,County,Mary E. Fairhurst
PCT 3329,SP,268
PCT 4448,SP,273
PCT 3323,SP,305
PCT 3322,SP,265
PCT 3321,SP,315
PCT 3320,SP,246
PCT 3327,SP,225
PCT 3326,SP,145
PCT 4438,SP,478
PCT 4439,SP,361
PCT 3325,SP,381
PCT 4432,SP,347
PCT 4433,SP,239
PCT 4430,SP,377
PCT 3324,SP,310
PCT 4436,SP,449
PCT 4437,SP,404
PCT 4434,SP,445
PCT 4435,SP,358
PCT 7028,SP,433
PCT 7029,SP,315
PCT 7020,SP,325
PCT 7021,SP,214
PCT 7022,SP,248
PCT 7023,SP,284
PCT 7024,SP,428
PCT 7025,SP,306
PCT 7026,SP,329
PCT 7027,SP,294
PCT 3222,SP,169
PCT 3223,SP,228
PCT 3220,SP,380
PCT 3221,SP,351
PCT 6221,SP,413
PCT 6220,SP,375
PCT 6223,SP,394
PCT 6222,SP,291
PCT 6225,SP,411
PCT 6224,SP,339
PCT 3128,SP,276
PCT 3121,SP,246
PCT 3120,SP,282
PCT 3123,SP,246
PCT 3122,SP,325
PCT 3125,SP,252
PCT 3124,SP,294
PCT 3127,SP,281
PCT 3126,SP,61
PCT 9400,SP,23
PCT 4034,SP,254
PCT 4035,SP,218
PCT 4032,SP,196
PCT 4033,SP,241
PCT 4030,SP,223
PCT 4031,SP,244
PCT 6315,SP,216
PCT 6314,SP,320
PCT 6317,SP,230
PCT 6316,SP,149
PCT 6311,SP,277
PCT 6310,SP,296
PCT 6313,SP,380
PCT 6312,SP,299
PCT 6318,SP,286
PCT 6009,SP,277
PCT 6008,SP,269
PCT 9700,SP,101
PCT 6001,SP,276
PCT 6000,SP,222
PCT 6003,SP,361
PCT 6002,SP,84
PCT 6005,SP,297
PCT 6004,SP,215
PCT 6007,SP,283
PCT 6006,SP,307
PCT 3301,SP,438
PCT 3300,SP,300
PCT 3303,SP,316
PCT 3302,SP,332
PCT 3305,SP,247
PCT 3304,SP,325
PCT 3307,SP,225
PCT 3306,SP,304
PCT 3309,SP,312
PCT 3308,SP,323
PCT 6500,SP,77
PCT 6218,SP,328
PCT 6219,SP,334
PCT 6210,SP,403
PCT 6211,SP,254
