Row Label,County,Kevin M. Korsmo
HARRINGTON IN,LI,97
LONG LAKE,LI,46
S REARDAN RURAL,LI,29
DAVENPORT RURAL,LI,56
IRBY,LI,16
KELLER,LI,47
LAMONA,LI,22
HAWK CREEK,LI,53
EDWALL,LI,42
MOHLER,LI,30
EGYPT,LI,80
WEST LARENE,LI,28
SPRAGUE RURAL,LI,74
WHEATLAND,LI,57
EAST LARENE,LI,54
GRAVELLE,LI,31
GRAND COULEE,LI,19
REARDAN IN,LI,160
PEACH,LI,88
ALMIRA RURAL,LI,20
N REARDAN RURAL,LI,31
HARR RURAL,LI,34
GOVAN,LI,19
LAKEVIEW,LI,78
ODESSA IN,LI,248
SPRAGUE IN,LI,81
RIVERVIEW,LI,106
ENOS,LI,7
LAYTON,LI,11
CANBY,LI,24
EARL,LI,23
WILBUR RURAL,LI,60
WAUKON,LI,37
WILBUR IN,LI,250
DOWNS,LI,15
SHERMAN,LI,41
MONDOVI,LI,49
ALMIRA IN,LI,75
SPRING CREEK,LI,60
SEVEN BAYS,LI,39
CRESTON RURAL,LI,32
CRESTON IN,LI,58
ODESSA RURAL,LI,54
WILSON CREEK,LI,22
Total,LI,2896
DAVENPORT IN,LI,385
BLUESTEM,LI,8
