Row Label,County,Graham Hunt,Greg Hartman
02-154,PI,332,112
02-150,PI,309,144
02-149,PI,381,214
02-106,PI,356,203
02-159,PI,212,105
02-158,PI,272,190
02-138,PI,440,192
02-148,PI,386,166
02-120,PI,226,163
02-121,PI,308,174
02-122,PI,252,230
02-123,PI,359,146
02-124,PI,241,151
02-125,PI,233,154
02-126,PI,328,179
02-127,PI,190,83
02-128,PI,297,192
02-129,PI,193,104
02-140,PI,410,155
02-141,PI,396,163
02-146,PI,253,150
02-147,PI,279,125
02-144,PI,314,161
02-145,PI,361,162
02-139,PI,358,134
02-152,PI,437,154
02-101,PI,89,82
02-142,PI,273,149
02-143,PI,250,135
02-157,PI,433,209
02-153,PI,334,128
02-134,PI,365,199
02-155,PI,361,179
02-133,PI,67,61
02-151,PI,117,63
02-156,PI,469,208
02-118,PI,192,124
02-115,PI,236,173
02-114,PI,189,94
02-117,PI,315,178
02-116,PI,339,193
02-111,PI,275,138
02-110,PI,191,98
02-113,PI,208,120
02-112,PI,199,113
02-137,PI,209,79
02-136,PI,69,31
02-135,PI,424,156
Total,PI,14518,7543
02-119,PI,174,118
02-105,PI,126,73
02-131,PI,347,224
02-130,PI,144,112
