Row Label,County,Mary Yu
ALTO,CU,35
TOUCHET,CU,109
STARBUCK COUNTRY,CU,11
STAR,CU,62
MUSTARD,CU,107
DAYTON,CU,151
PING,CU,115
BROOKLYN,CU,126
TUCANNON,CU,42
STARBUCK CITY,CU,52
COLUMBIA,CU,154
RAINWATER,CU,104
Total,CU,1185
PATIT,CU,117
