Row Label,County,Larry Seaquist,Michelle Caldier
26-302,PI,452,408
26-303,PI,390,380
26-301,PI,104,123
26-328,PI,220,370
26-329,PI,242,430
26-304,PI,455,419
26-305,PI,430,407
26-324,PI,301,342
26-325,PI,274,339
26-326,PI,357,332
26-327,PI,347,301
26-320,PI,311,301
26-321,PI,443,381
26-322,PI,353,345
26-323,PI,427,335
26-348,PI,296,315
26-349,PI,285,346
26-346,PI,264,251
26-337,PI,363,339
26-344,PI,46,25
26-345,PI,298,318
26-342,PI,366,335
26-343,PI,293,303
26-340,PI,369,380
26-341,PI,287,331
26-339,PI,62,49
26-338,PI,266,300
26-315,PI,357,356
26-317,PI,280,349
26-316,PI,359,376
26-319,PI,286,299
26-318,PI,264,276
26-331,PI,93,100
26-330,PI,225,214
26-333,PI,287,390
26-336,PI,324,391
26-335,PI,269,244
26-334,PI,345,325
26-351,PI,302,316
26-350,PI,296,367
26-352,PI,311,299
26-347,PI,240,287
26-332,PI,300,287
Total,PI,12839,13381
