Row Label,County,Obie O'Brien,Steve Verhey
DAMMAN,KS,218,112
VANTAGE,KS,17,8
PARK,KS,228,100
TEANAWAY,KS,196,97
ELLENSBURG 20,KS,38,48
CLE ELUM 4,KS,157,88
ELLENSBURG 22,KS,118,61
ELLENSBURG 23,KS,118,99
CLE ELUM 1,KS,104,75
ELLENSBURG 25,KS,231,125
CLE ELUM 3,KS,31,34
CLE ELUM 2,KS,73,31
SOUTH CLE ELUM,KS,116,53
FAIRVIEW,KS,142,63
RONALD,KS,89,52
NORTHEAST FAIRVIEW,KS,223,109
ELLENSBURG 24,KS,231,155
ELLENSBURG 9,KS,41,52
ELLENSBURG 8,KS,42,41
RIDGEWAY,KS,309,187
ELLENSBURG 1,KS,18,30
ELLENSBURG 2,KS,21,57
ELLENSBURG 5,KS,40,53
ELLENSBURG 4,KS,18,28
ELLENSBURG 7,KS,33,21
ELLENSBURG 6,KS,26,39
EAST SANDERS,KS,225,107
THRALL,KS,204,107
ELLENSBURG 21,KS,68,58
MOUNTAIN,KS,92,45
HYAK,KS,58,31
ROSLYN 1,KS,70,98
ROSLYN 2,KS,57,90
KITTITAS 1,KS,94,45
KACHESS,KS,67,36
MANASTASH,KS,172,103
DENMARK,KS,278,170
ROSLYN OUTLYING,KS,39,14
SOUTH ELLENSBURG,KS,267,162
DRY CREEK,KS,258,127
NORTH CENTRAL,KS,169,97
ELLENSBURG 11,KS,53,84
ELLENSBURG 10,KS,60,86
ELLENSBURG 13,KS,53,52
ELLENSBURG 12,KS,54,76
ELLENSBURG 15,KS,93,70
ELLENSBURG 14,KS,67,70
ELLENSBURG 17,KS,103,105
ELLENSBURG 16,KS,133,105
ELLENSBURG 19,KS,150,158
ELLENSBURG 18,KS,13,20
WESTSIDE,KS,251,138
EASTON,KS,224,113
PEOH POINT,KS,222,90
SANDERS,KS,98,48
KITTITAS 2,KS,110,41
NORTH ELLENSBURG,KS,282,146
THORP,KS,197,108
SWAUK,KS,132,54
Total,KS,7291,4672
