Row Label,County,Tim Rasmussen
MILL CREEK,ST,122
KETTLE FALLS 1,ST,237
COLUMBIA,ST,349
ARDEN 1,ST,203
COLVILLE 1,ST,110
COLVILLE 2,ST,119
DAISY,ST,122
COLVILLE 4,ST,286
COLVILLE 5,ST,221
COLVILLE 6,ST,145
COLVILLE 7,ST,171
COLVILLE VALLEY,ST,408
STONE LODGE,ST,305
ECHO VALLEY,ST,162
LOON LAKE 2,ST,198
NARCISSE,ST,307
LOON LAKE 1,ST,382
COLVILLE 3,ST,148
CAMAS PRAIRIE,ST,146
EVANS,ST,145
SPRINGDALE,ST,51
MEYERS FALLS 2,ST,359
NORTHPORT,ST,77
SUMMIT,ST,209
KELLY HILL,ST,70
CLAYTON 2,ST,323
CLAYTON 1,ST,193
ARDEN 2,ST,250
MEYERS FALLS 1,ST,220
WAITTS LAKE,ST,275
WELLPINIT,ST,119
CHEWELAH 3,ST,174
HUNTERS,ST,282
ONION CREEK,ST,89
CHEWELAH 2,ST,104
CHEWELAH 1,ST,207
ECHO,ST,278
QUARTZITE 1,ST,398
QUARTZITE 2,ST,214
TUM TUM 5,ST,290
TUM TUM 4,ST,243
ROCK CUT,ST,56
TUM TUM 1,ST,182
TUM TUM 3,ST,441
TUM TUM 2,ST,369
MARCUS,ST,43
Total,ST,12011
FIRST THOUGHT,ST,39
WALKERS PRAIRIE,ST,206
CAMAS,ST,258
ADDY,ST,304
WILLIAMS VALLEY,ST,396
ORIN 1,ST,188
ORIN 2,ST,219
KETTLE FALLS 2,ST,157
CHEWELAH FORE,ST,113
RICE,ST,124
VALLEY 1,ST,42
VALLEY 2,ST,163
