Row Label,County,Cary Condotta
NESPELEM CITY,OK,14
FINLEY CANYON,OK,57
FLETCHER,OK,38
WEST CHEWUCH,OK,46
METHOW,OK,60
CROSSROADS,OK,33
NORTH STAR,OK,12
MOCCASIN LAKE,OK,49
VALLEY,OK,38
OWHI,OK,26
BREWSTER #2,OK,59
BREWSTER #3,OK,29
BREWSTER RURAL,OK,50
BREWSTER #1,OK,24
BREWSTER #6,OK,18
BREWSTER #4,OK,15
BREWSTER #5,OK,25
ALMA,OK,38
SUNSET LAKES,OK,17
CARLTON,OK,25
MAZAMA,OK,58
FIKER,OK,35
PATEROS #3,OK,23
PATEROS #2,OK,31
PATEROS #1,OK,29
BLACK CANYON,OK,30
CANAL,OK,31
COLUMBIA,OK,19
TWISP RURAL,OK,40
ROSS CANYON,OK,38
PIONEER,OK,44
DIXON,OK,42
OMAK MTN,OK,16
AVIATION,OK,27
RAT LAKE,OK,26
TWIN LAKES,OK,61
GLOVER,OK,49
EDELWEISS,OK,47
BUFFALO LAKE,OK,16
POORMAN CREEK,OK,70
PATEROS RURAL,OK,43
DAVIS LAKE,OK,42
LEECHER MTN,OK,53
POGUE,OK,61
MONSE #3,OK,35
MONSE #1,OK,55
BRIDGE CREEK,OK,21
BREWSTER FLAT,OK,37
SPRING COULEE,OK,49
AIRPORT,OK,48
DULEY LAKE,OK,19
WINTHROP #1,OK,64
WINTHROP #2,OK,34
LIBBY CREEK,OK,60
OKANOGAN RURAL,OK,33
BALKY HILL,OK,35
MISSION,OK,21
NESPELEM RURAL,OK,22
PATTERSON LAKE,OK,52
MCGINNIS LAKE,OK,10
ORCHARD,OK,27
ELMER CITY,OK,61
MCCLURE MTN,OK,58
ALTA LAKE,OK,40
PEARRYGIN LAKE,OK,33
TWISP #4,OK,21
TWISP #2,OK,42
TWISP #3,OK,57
TWISP #1,OK,53
LONE PINE,OK,21
BOSTON,OK,56
WOLF CREEK,OK,45
HENDRICK,OK,52
ELMERTON,OK,77
LEWIS BUTTE,OK,54
KERMEL,OK,48
OMAK LAKE,OK,23
MALOTT,OK,65
DISAUTEL,OK,17
CHILIWIST,OK,44
COULEE DAM #4,OK,31
COULEE DAM #3,OK,33
COULEE DAM #2,OK,38
COULEE DAM #1,OK,51
STARR,OK,26
FLATS,OK,37
BEAVER CREEK,OK,31
NORTH MALOTT,OK,48
WINTHROP RURAL,OK,58
DUCK LAKE,OK,22
EASTSIDE,OK,66
HUDSON,OK,22
Total,OK,3599
MOCK,OK,43
